environment_id,stage_scope,classification,python,packages,hardware,evidence,version_not_proven,notes
ENV023,Stage20-later-Friday,PROVEN_GPU_UNMAPPED,3.12.13,PyTorch 2.10.0+cu126,"Tesla T4; CUDA 12.6",Stage20 later Colab receipt,NONE,"NOTEBOOK_CELL_NOT_MAPPED."
ENV024,Stage21,PROVEN_GPU,3.12.13,"NumPy 2.4.6; PyTorch 2.10.0+cu126; cuDNN 9.1.0.2","Tesla T4; CUDA 12.6",Stage21 execution receipts,NONE,"Stage21 only."
ENV025,Stage22,PARTIALLY_PROVEN,VERSION_NOT_PROVEN,"NumPy 2.0.2; pandas 2.3.3; scikit-learn 1.6.1; LightGBM 4.6.0; XGBoost 3.2.0",GPU_MODEL_VERSION_NOT_PROVEN,Stage22R receipts,"Python; GPU model","Backends proven; hardware identity incomplete."
ENV026,Stage23,PARTIALLY_PROVEN,VERSION_NOT_PROVEN,"NumPy 2.0.2; pandas 2.3.3; scikit-learn 1.6.1; LightGBM 4.6.0; XGBoost 3.2.0; SHAP 0.51.0",GPU_MODEL_VERSION_NOT_PROVEN,Stage23 receipts,"Python; GPU model","Do not infer from Stage24."
ENV027,Stage24,PROVEN_GPU,3.12.13,"NumPy 2.0.2; pandas 2.3.3; PyArrow 24.0.0; scikit-learn 1.6.1; LightGBM 4.6.0; XGBoost 3.2.0; CatBoost 1.2.10",Two Tesla T4 GPUs,Stage24 bootstrap receipt,NONE,"Stage24-specific two-GPU record."
ENV028,Stage25,PARTIALLY_PROVEN_NONESSENTIAL,3.12.13,NONE_REQUIRED_FOR_SCALAR_FORMULAS,NOT_APPLICABLE,Stage25 notebook/receipts,Other historical packages,"Exact scalar reproduction does not require model runtimes."
ENV029,Stage26-CPU,PROVEN_CPU,3.12.13,"NumPy 2.0.2; pandas 2.3.3; scikit-learn 1.6.1; LightGBM 4.6.0; XGBoost 3.2.0; CatBoost 1.2.10; PyTorch 2.10.0+cpu","Linux glibc 2.35; 4 logical/2 physical cores; 31.348 GiB RAM",Stage26 CPU receipts,NONE,"Historical measurements only."
ENV030,Stage26-T4,PARTIALLY_PROVEN_GPU,NOT_SEPARATELY_RECORDED,"PyTorch 2.10.0+cu128","Tesla T4; driver 580.159.04; CUDA 12.8; 15360 MiB",Stage26 GPU receipt,Other GPU-session package versions,"Separate from Stage26 CPU and all P100 records."
ENV031,Stage27,PROVEN_CPU,3.12.13,"NumPy 2.0.2; scikit-learn 1.6.1; XGBoost 3.2.0; LightGBM 4.6.0; Joblib 1.5.3",CPU; CUDA hidden,Stage27 receipts,NONE,"LOAO targets remain closed."
ENV032,Stage28,PARTIALLY_PROVEN_CPU,3.12.13,"NumPy 2.0.2; scikit-learn 1.6.1",CPU,Stage28 membership/execution receipts,"XGBoost; LightGBM","Do not inherit Stage27 learner versions."
