table_candidate,stage,scientific_question,source_artifact,native_metric,evidence_status,main_or_supplement,recommended_action,supporting_claim_ids,reason
"T29-S05_LIME_RELIABILITY","Stage13","How often did local explanations meet fidelity criteria?","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","qualified count;decision failures;agreement","NEGATIVE_RESULT","SUPPLEMENT","SUPPLEMENT","CLM29-004","Detailed explanation-validity evidence."
"T29-S06_STAGE23_PRIMARY_SUBSETS","Stage23","How did the seven primary subsets behave?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/tables/table_23_1_primary_subset_performance.csv","subset PR-AUC;ROC-AUC","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","CLM29-010","Full subset results complement the main interaction figure."
"T29-S07_STAGE23_INTERACTIONS","Stage23","What removal penalties and interactions were observed?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/tables/table_23_2_primary_removal_penalties_and_interactions.csv","native metric deltas and intervals","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","CLM29-010","Detailed conditional comparisons."
"T29-S08_STAGE23_STUMPS","Stage23","What did single-feature controls show?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/tables/table_23_3_single_feature_stump_controls.csv","stump ranking metrics","SUPPORTING","SUPPLEMENT","SUPPLEMENT","CLM29-010","Mechanism-constraining control."
"T29-S09_STAGE23_SHAP_PROXY","Stage23","How did component importance redistribute?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/tables/table_23_4_shap_proxy_absorption_consensus.csv","normalized component importance","DESCRIPTIVE","SUPPLEMENT","SUPPLEMENT","CLM29-010","Not exact ensemble SHAP."
"T29-S10_STAGE23_FAMILY_SUPPORT","Stage23","How did family composition differ across split cells?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/tables/table_23_5_attack_family_support_and_full_metrics.csv","support and native metrics","SUPPORTING","SUPPLEMENT","SUPPLEMENT","CLM29-010;CLM29-016","Exposes family-composition entanglement."
"T29-S11_STAGE23_PLACEBO_SUBSETS","Stage23","Did matched-size placebos also interact?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/tables/table_23_s1_placebo_subset_performance.csv","placebo subset metrics","NEGATIVE_RESULT","SUPPLEMENT","SUPPLEMENT","CLM29-010;CLM29-020","Prevents causal overinterpretation."
"T29-S12_STAGE24_PAIRED_EFFECTS","Stage24","How did the flag correction change native metrics?","results/stage24_cross_dataset/stage24_publication_package/tables/table24_2_paired_bootstrap_contrasts.csv","delta PR-AUC;ROC-AUC;Brier and conditional intervals","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","CLM29-011","Metrics remain separate and intervals conditional."
"T29-S13_STAGE24_THRESHOLD_TRANSFER","Stage24","Did source thresholds transfer?","results/stage24_cross_dataset/stage24_publication_package/tables/table24_3_secondary_threshold_transfer.csv","threshold metrics","NEGATIVE_RESULT","SUPPLEMENT","SUPPLEMENT","CLM29-011","Secondary operational transfer detail."
"T29-S14_STAGE24_GOVERNANCE","Stage24","Which populations and cells were available?","results/stage24_cross_dataset/stage24_publication_package/tables/table24_4_governance_and_populations.csv","row counts;prevalence;cell status","PARTIAL_AND_CANCELLED","SUPPLEMENT","SUPPLEMENT","CLM29-012","Makes cancelled cells and populations auditable."
"T29-S15_STAGE25_ALL_POINTS","Stage25","What happened across all 0.1% operating points?","results/stage25_prevalence_stress/stage25_publication_package/tables/table25_2_all_operating_points_0p1pct.csv","PPV;NPV;alerts;workload","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","CLM29-013","Full scenario detail."
"T29-S16_STAGE25_BREAK_EVEN","Stage25","What are exact PPV/cost break-even conditions?","results/stage25_prevalence_stress/stage25_publication_package/tables/table25_3_exact_cost_break_even.csv","required prevalence/FPR and cost break-even","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","CLM29-013","Assumption-bound decision aid."
"T29-S17_STAGE25_COST_DECISIONS","Stage25","How do family decisions vary by prevalence?","results/stage25_prevalence_stress/stage25_publication_package/tables/table25_4_family_relative_cost_decisions.csv","relative cost decision","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","CLM29-013","Shows scenario sensitivity."
"T29-S18_STAGE25_SANITY","Stage25","Did frozen sanity checks pass?","results/stage25_prevalence_stress/stage25_publication_package/tables/table25_5_preregistered_sanity_audit.csv","sanity status","SUPPORTING","SUPPLEMENT","SUPPLEMENT","CLM29-013","Governance evidence rather than a scientific result."
"T29-S19_STAGE26_BATCH1","Stage26","What is the low-batch CPU/GPU anchor?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","latency;throughput;memory","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","CLM29-014","Supports the main deployment figure."
"T29-S20_STAGE26_MATCHED","Stage26","What are the matched CPU/GPU profiles?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_MATCHED_COMPARISON.csv","latency;throughput;speedup","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","CLM29-014","Full measured comparison."
"T29-S21_STAGE26_BACKENDS","Stage26","Which runtime paths were available?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_GPU_BACKEND_RESOURCE_STATUS.csv","backend/resource status","PARTIAL","SUPPLEMENT","SUPPLEMENT","CLM29-014","Unsupported is not a latency result."
"T29-S22_STAGE26_COMPONENTS","Stage26","What portion of the pipeline was timed?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_COMPONENT_MEASUREMENTS.csv","component timing boundary","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","CLM29-014","Prevents end-to-end latency overclaim."
"T29-S23_STAGE26_CPU_WARM","Stage26","What are detailed CPU warm profiles?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU_WARM_INFERENCE.csv","latency;throughput","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","CLM29-014","Detailed hardware-specific measurements."
"T29-S24_STAGE26_MEMORY","Stage26","What are memory and package costs?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU_MEMORY_PACKAGE.csv","memory;artifact size","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","CLM29-014","Deployment resource detail."
"T29-S25_STAGE27_PRIMARY","Stage27","What are the seed42 primary LOAO metrics?","results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/stage27_final_primary_metrics.csv","family-specific PR-AUC;ROC-AUC;recall;intervals","PRIMARY_WITH_LOW_SUPPORT_ROWS","SUPPLEMENT","SUPPLEMENT","CLM29-015","Stage28 stability table is main; full seed42 metrics remain available."
"T29-S26_STAGE28_SEED_LEVEL","Stage28","What are the individual temporal seed metrics?","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_random_vs_chronological_key_contrasts.csv","seed-level PR-AUC;ROC-AUC","PRIMARY","SUPPLEMENT","SUPPLEMENT","CLM29-008","Supports the main five-seed summary."
"T29-S27_STAGE28_LOAO_KEY_METRICS","Stage28","What are key family metrics across realizations?","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_loao_key_metric_summary.csv","family-specific native metrics","PRIMARY_WITH_LOW_SUPPORT_ROWS","SUPPLEMENT","SUPPLEMENT","CLM29-015","Detailed realization evidence."
"T29-M01_STAGE23_MAIN_TEX","Stage23","How should Stage23 tables be assembled?","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_main_tables.tex","multiple subset metrics","SENSITIVITY","SUPPLEMENT","MERGE_LATER","CLM29-010","Assembly source should be decomposed into the selected supplement tables."
"T29-M02_STAGE26_PARETO","Stage26","What is the performance/latency trade-off?","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_PARETO.csv","predictive metric vs latency","HARDWARE_SPECIFIC","SUPPLEMENT","MERGE_LATER","CLM29-014","Groups A and B must remain separate within any later merged table."
