evidence_id,stage,research_axis,question,comparison,native_metric,frozen_value,direction_of_effect,population,split,learner,seed_scope,target_scope,support,uncertainty_type,source_artifact,source_config,canonical_code,original_source,equivalence_id,reproducibility_class,evidence_status,residual_limitation,allowed_interpretation,prohibited_interpretation
"E29-015","Stage13","shortcut-feature sensitivity","Did stable LIME explanations reliably reproduce local model behavior?","LIME vs TreeSHAP and model decisions","qualified cases; local decision failures; top10 Jaccard","2/64 qualified;31/64 decision failures; mean Jaccard XGB=0.304 LGB=0.360","stability did not imply fidelity","deterministic outcome-stratified local panel","original holdout cases","XGBoost;LightGBM","five perturbation seeds","64 model-specific cases","64 explanations","study-specific local fidelity criteria","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","configs/stage13/protocol.json","src/ids_validation/stages/stage13/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells126-134","EQ040;EQ041;EQ042","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","NEGATIVE_RESULT","selected panel and study-specific criteria limit generality","LIME was repeatable yet frequently fidelity-limited; TreeSHAP is primary","Stable explanations are necessarily valid or causal"
"E29-016","Stage18","temporal validity","Was the Stage15 split safe for temporal window models?","recovered timestamps vs frozen memberships","unique provenance; mixed-bin rate; near-train validation bins","0.8536783;0.1555201;0.9976558 within 30 seconds","temporal leakage risk identified","192521 timestamp-recovered rows","Stage15 frozen split","none","historical frozen scope","temporal representation feasibility","192521 rows","descriptive provenance audit","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/stage18_1_temporal_feasibility_closure.json","configs/stage18/protocol.json","src/ids_validation/stages/stage18/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells163-166","EQ058;EQ059","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PARTIAL","timestamp recovery was incomplete and mixed temporal/family composition remained","The existing split was unsafe for temporal-window claims","All random splits are invalid or concept drift is proven"
"E29-017","Stage18","deployment/computational validity","Was a tabular-to-ViT experiment supported by the available artifacts?","seven candidate representations vs feasibility gates","representations passing gate","0/7","no support for execution","frozen Stage18 representation inventory","not applicable","ViT candidate","none","representation feasibility only","7 representations","precommitted feasibility audit","results/stage18_representation_feasibility_checkpoint/stage18_2_vit_feasibility_package/stage18_2_vit_feasibility_closure.json","configs/stage18/protocol.json","src/ids_validation/stages/stage18/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells167-169","EQ060","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","NEGATIVE_RESULT","no ViT model was trained in Stage18","A Stage18 ViT comparison was not supported by the artifacts","ViT performed poorly in Stage18"
"E29-018","Stage18","shortcut-feature sensitivity","Did packet graph ranking translate to the frozen threshold?","graph ranking vs frozen operating point and edge-only baseline","PR-AUC; ROC-AUC; F1; recall; TP","graph PR=0.9735953918848133 ROC=0.9986766395630168 but F1=0 recall=0 TP=0; edge-only PR=0.42976973171668154 F1=0.6559877841940602","ranking/threshold divergence","source-restricted Feb20 packet graph subset","frozen final evaluation","graph;edge-only","historical frozen scope","graph representation","source-restricted subset","descriptive frozen metrics","docs/STAGE18_MANUSCRIPT_INTEGRATION.md","configs/stage18/protocol.json","src/ids_validation/stages/stage18/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells170-179","EQ060","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","unseen topology is not estimable and source restriction limits scope","Strong ranking coexisted with total failure at the frozen threshold","Graph context causally improves detection"
"E29-019","Stage21","deployment/computational validity","How did the frozen ViT compare descriptively with the CNN?","CNN vs ViT on the restored Friday population","PR-AUC; ROC-AUC; deltas","CNN 0.48945269459245255/0.43921400808023464; ViT 0.606536911289453/0.5686939700294255; deltas 0.11708421669700042/0.1294799619491908","ViT higher on this frozen comparison","restored Friday packet-image population","Friday locked evaluation","CNN;ViT","single frozen training runs","same frozen target","one comparison","descriptive only","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","configs/stage21/protocol.json","src/ids_validation/stages/stage21/protocol.py","notebooks/archive/stage21_stage22_research_continues.ipynb:Stage21 cells","EQ075;EQ076;EQ077","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","DESCRIPTIVE","single artifact-specific comparison without confirmatory replication","ViT ranked higher than CNN under the frozen Stage21 conditions","General architecture superiority"
"E29-020","Stage22","temporal validity","How did split chronology affect forward holdout ranking?","random-natural vs chronological-natural and rebalanced cells","final PR-AUC; ROC-AUC","random natural 0.26295321962777995/0.5204903284767843; chronological natural 0.6107344875615713/0.8064180161824033; chronological rebalanced 0.6926302657182113/0.8321639645817649","chronological cells higher on shared forward target","Mar1-Mar2 IDS2018 final holdout","random vs chronological development","XGBoost","42","shared final holdout","1374133 rows; prevalence 0.2731504155711274","single frozen holdout comparison","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","configs/stage22/protocol.json","src/ids_validation/stages/stage22/registry.py","notebooks/archive/stage21_stage22_research_continues.ipynb:cells133-136","EQ079;EQ080;EQ081","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PRIMARY","single seed in Stage22R; chronology and family composition are entangled","Chronological development improved ranking on this forward target","Temporal splitting always improves or proves concept drift"
"E29-021","Stage22","temporal validity","Did frozen operating thresholds transfer?","development thresholds on shared forward target","FPR and firing behavior","chronological thresholds almost never fire; random security FPR=0.2870 and 0.2685","operating-point transfer failed","Mar1-Mar2 IDS2018 final holdout","forward final holdout","XGBoost","42","four frozen cells","1374133 rows","descriptive frozen operating-point metrics","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","configs/stage22/protocol.json","src/ids_validation/stages/stage22/registry.py","notebooks/archive/stage21_stage22_research_continues.ipynb:cells133-136","EQ079;EQ080;EQ081","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","NEGATIVE_RESULT","no post-holdout threshold adaptation was allowed","Ranking generalization and threshold transfer must be separated","Threshold failure means the rankings have no value"
"E29-022","Stage23","shortcut-feature sensitivity","Did shortcut-subset effects generalize uniformly?","seven frozen feature subsets across split/model cells","PR-AUC and ROC-AUC interactions","effects were split- and learner-dependent; no universal shortcut-removal benefit","mixed and conditional","frozen Stage22 development/final populations","random and chronological","XGBoost;LightGBM","frozen Stage23 scope","seven subsets","7 primary subsets","frozen paired comparisons and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_7_final_scientific_synthesis.md","configs/stage23/protocol.json","src/ids_validation/stages/stage23/registry.py","notebooks/archive/stage23_research_executed.ipynb","EQ082;EQ083;EQ084","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","SENSITIVITY","subset perturbations do not identify causal mechanisms and target relationships vary","Shortcut sensitivity depended on split and learner under the tested subsets","Shortcut features cause all transfer failure"
"E29-023","Stage23","shortcut-feature sensitivity","Did the audit support a single causal shortcut mechanism?","primary subsets plus placebo and stump controls","closure status","mechanism remains partial; controls constrain but do not identify causation","no single mechanism established","same frozen Stage23 populations","random and chronological","XGBoost;LightGBM;stump controls","frozen","subset and control scope","frozen control set","descriptive and frozen control evidence","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_results_integration.tex","configs/stage23/protocol.json","src/ids_validation/stages/stage23/registry.py","notebooks/archive/stage23_research_executed.ipynb","EQ085;EQ086;EQ087","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PARTIAL","observational ablations cannot isolate a causal data-generating mechanism","The audit narrows plausible shortcut explanations","A named shortcut mechanism was proven"
"E29-024","Stage24","cross-dataset validity","How much ranking transferred IDS2018 to CICIDS2017?","bridge62 forward transfer","PR-AUC; ROC-AUC","0.667483;0.733946","substantial but incomplete ranking signal","CICIDS2017 effective target","frozen target evaluation","tree model","frozen source training","IDS2018 to CICIDS2017","2830743 rows","frozen scalar result","results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json","configs/stage24/protocol.json","src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ088;EQ089;EQ090","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PRIMARY","62-feature bridge and dataset preprocessing restrict scope","Forward transfer retained ranking signal under the frozen bridge","The model generalizes across arbitrary datasets"
"E29-025","Stage24","cross-dataset validity","Was reverse transfer symmetric?","bridge62 CICIDS2017 to IDS2018","PR-AUC; ROC-AUC; prevalence","0.108176;0.525167;0.104847","near-baseline reverse ranking","IDS2018 Feb28 target","frozen target evaluation","tree model","frozen source training","CICIDS2017 to IDS2018","frozen target","frozen scalar result","results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json","configs/stage24/protocol.json","src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ088;EQ089;EQ090","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","NEGATIVE_RESULT","direction-specific populations and feature bridges differ","Cross-dataset transfer was strongly asymmetric","Forward and reverse results may be averaged"
"E29-026","Stage24","cross-dataset validity","Did the aggregate-flag serialization correction matter?","bridge70 primary before vs corrected","delta PR-AUC; ROC-AUC; Brier","-0.007729;+0.002192;+0.005087; paired 95% intervals exclude zero","small metric-specific changes","CICIDS2017 target","frozen target evaluation","tree model","frozen","IDS2018 to CICIDS2017 bridge70","frozen target","conditional paired bootstrap intervals","results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json","configs/stage24/protocol.json","src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ091;EQ092","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","intervals are conditional on frozen arrays and protocol; metric directions differ","Serialization details measurably affected the bridge70 result","All metrics changed in one common degradation direction"
"E29-027","Stage24","cross-dataset validity","Could the two GROUNDED_S4 cells be executed without adaptation?","durable physical-row reconstruction gate","completed cells","0/2; both cancelled","administrative cancellation","GROUNDED_S4 target memberships","not opened","none","none","two preregistered cells","2 cells","protocol governance record","docs/STAGE24_PUBLICATION_CLOSEOUT.md","configs/stage24/protocol.json","src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ093","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CANCELLED","exact durable membership could not be reconstructed without a new heuristic","The cells remain cancelled and visible","Imputed or fuzzy results exist for the cancelled cells"
"E29-028","Stage25","prevalence/operational validity","Can high PPV coexist with high workload at low prevalence?","Stage22 random standard point at 0.1% prevalence","PPV; analyst hours/day","0.965572;33.5","high PPV but capacity-intensive","prior-shift projection","0.1% deployment prevalence","frozen Stage22 random point","frozen inherited run","projected deployment","frozen point","deterministic frozen prior-shift translation","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","configs/stage25/protocol.json","src/ids_validation/stages/stage25/registry.py","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","EQ095;EQ099;EQ100","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","prior shift fixes sensitivity/specificity and analyst time is assumed","High PPV did not imply low workload under the frozen assumptions","This is observed SOC workload"
"E29-029","Stage25","prevalence/operational validity","Can low workload conceal negligible utility?","Stage22 chronological standard point at 0.1% prevalence","PPV; true alerts/day","0.000551068;0.0322","capacity fit with negligible positive yield","prior-shift projection","0.1% deployment prevalence","frozen Stage22 chronological point","frozen inherited run","projected deployment","frozen point","deterministic frozen prior-shift translation","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","configs/stage25/protocol.json","src/ids_validation/stages/stage25/registry.py","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","EQ095;EQ099;EQ100","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","prior-shift and alert-handling assumptions are not field observations","Capacity fit cannot be equated with operational usefulness","The model is operationally useless in all SOCs"
"E29-030","Stage25","prevalence/operational validity","How did transfer directions translate at 0.1% prevalence?","forward vs reverse standard points","projected PPV range","forward=0.039233-0.060313; reverse=0.000257610-0.000287993","forward higher but both constrained by base rate","prior-shift projection from Stage24","0.1% deployment prevalence","frozen transferred models","frozen","bidirectional transfer","frozen points","deterministic frozen prior-shift translation","docs/STAGE25_PUBLICATION_TABLES.md","configs/stage25/protocol.json","src/ids_validation/stages/stage25/registry.py","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","EQ095;EQ101;EQ102","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","assumes invariant rates under prior shift and frozen operating points","Base rates sharply constrain projected PPV","Projected PPV is observed deployment performance"
"E29-031","Stage25","prevalence/operational validity","How sensitive was frozen cost preference to prevalence?","1:100 relative-cost scenario at 0.1% vs 0.01%","operating points favoring model","15/24 vs 3/24","model preference decreased at lower prevalence","24 inherited operating points","prior-shift grid","multiple frozen models","frozen","cost scenario","24 points","deterministic frozen cost model","docs/STAGE25_PUBLICATION_TABLES.md","configs/stage25/protocol.json","src/ids_validation/stages/stage25/registry.py","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","EQ095;EQ101;EQ102","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","SENSITIVITY","1:100 costs and prevalence are scenarios not measured SOC economics","Operational preference depends on prevalence and cost assumptions","A universal deployment recommendation follows"
"E29-032","Stage26","deployment/computational validity","What deployment cost was measured?","frozen inference paths and batch settings","latency; throughput; memory; artifact size","reported only in Stage26 native hardware/profile tables","hardware-specific feasibility evidence","Stage26 measured host and software stack","profiling protocol","eligible frozen models","frozen inherited artifacts","deployment profiling","frozen batch grid","descriptive measured profiling with frozen repetitions","docs/STAGE26_MANUSCRIPT_INTEGRATION.md","configs/stage26/protocol.json","src/ids_validation/stages/stage26/registry.py","notebooks/archive/stage26_deployment_profiling_executed.ipynb","EQ096;EQ103;EQ104","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","HARDWARE_SPECIFIC","timings do not generalize beyond measured hardware/software and unsupported backends remain unsupported","Stage26 quantifies measured computational feasibility","The timings are universal deployment constants"
"E29-033","Stage26","deployment/computational validity","Could all desired backend comparisons be completed?","eligible vs unsupported runtime paths","backend support status","unsupported paths remain explicitly unsupported","partial backend coverage","Stage26 environment","profiling protocol","frozen artifacts","frozen","runtime backends","documented set","governance and compatibility evidence","docs/STAGE26_PUBLICATION_CLOSEOUT.md","configs/stage26/protocol.json","src/ids_validation/stages/stage26/registry.py","notebooks/archive/stage26_deployment_profiling_executed.ipynb","EQ105","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PARTIAL","missing compatible artifacts/dependencies prevented complete backend coverage","Only measured compatible paths support deployment claims","Unsupported paths performed poorly"
"E29-034","Stage27","unseen-family validity","Did eligible attack families transfer consistently?","leave-one-attack-family-out across learners","eligibility and qualitative stability","5 eligible families; DDOS PORT_SCAN WEB_ATTACK met frozen conditions for both learners; BOT learner-dependent","selective family transfer","eligible IDS2018 families","LOAO frozen protocol","XGBoost;LightGBM","frozen Stage27 runs","held-out family","5 eligible families","frozen intervals and point metrics","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","configs/stage27/protocol.json","src/ids_validation/stages/stage27/registry.py","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","EQ097;EQ106;EQ107","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PRIMARY","only eligible families and two learners; conditions are not universal zero-day criteria","Unseen-family ranking/recall was selective and learner-dependent","The model detects zero-day attacks"
"E29-035","Stage27","unseen-family validity","Were all families eligible for LOAO inference?","eligible vs ineligible/low-support families","family count and support","DOS and AUTH_BRUTE_FORCE ineligible; Infiltration support=36 descriptive only","restricted inferential scope","IDS2018 family taxonomy","LOAO frozen protocol","XGBoost;LightGBM","frozen","held-out family","Infiltration 36 positives","eligibility gates and descriptive reporting","docs/STAGE27_PUBLICATION_TABLES.md","configs/stage27/protocol.json","src/ids_validation/stages/stage27/registry.py","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","EQ108","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","LOW_SUPPORT","family construction and small supports limit inference","Infiltration is descriptive and two families were ineligible","All attack families were evaluated equivalently"
