map_id,manuscript_subsection,stage29_artifacts,historical_stages,frozen_results,figures_tables,reproduction_index_entries
MSM-015,"4.2 Temporal Validation","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage18;Stage22;Stage28","E29-016;E29-020;E29-021;E29-037;E29-038;E29-040","F22R-01;F22R-02;F22R-03;T29-03;T29-S26","C22-001..C22-009;C28-001;C28-002;C28-005; pre-Stage22 via Stage29 matrices"
MSM-016,"4.3 Shortcut-Feature Audit","evidence/master_evidence_matrix.csv; claims/final_claim_registry.csv","Stage23","E29-022;E29-023","F23-01;T29-S06..T29-S11","C23-001..C23-008"
MSM-017,"4.4 Cross-Dataset Transfer","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage24","E29-024;E29-025;E29-026;E29-027","F24-01;F24-02;T29-04;T29-S12;T29-S13;T29-S14","C24-001..C24-012"
MSM-018,"4.5 Prevalence and Operational Stress","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage25","E29-028;E29-029;E29-030;E29-031","F25-01;T29-05;T29-S15..T29-S18","C25-001..C25-005"
MSM-019,"4.6 Deployment Profiling","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage26","E29-032;E29-033","F26-01;T29-S19..T29-S24;T29-M02","C26-001..C26-005"
MSM-020,"4.7 Leave-One-Attack-Family-Out Evaluation","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage27;Stage28","E29-034;E29-035;E29-036;E29-039","F27-01;F27-02;T29-06;T29-S25;T29-S27","C27-001..C27-005;C28-003..C28-005"
MSM-021,"4.8 Seed and Control Stability","evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv; claims/final_claim_registry.csv","Stage28","E29-037;E29-038;E29-039;E29-040","T29-03;T29-06;T29-S26;T29-S27","C28-001..C28-005"
MSM-022,"4.9 Statistical Uncertainty and Anti-Adaptation Controls","evidence/master_evidence_matrix.csv; claims/final_claim_registry.csv; governance/target_opening_ledger.csv","Stage08;Stage09;Stage12;Stage23;Stage24;Stage27;Stage28","E29-009;E29-010;E29-011;E29-014;E29-023;E29-026;E29-035;E29-038;E29-040","T29-S02;T29-S03;T29-S07;T29-S12;T29-S26","C23-003..C23-008;C24-003..C24-012;C27-002..C27-005;C28-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-023,"4.10 Reproducibility and Provenance","evidence/master_evidence_matrix.csv; provenance/stage29_source_inventory.csv; provenance/stage29_artifact_hash_inventory.csv; provenance/stage29_equivalence_matrix.csv; environment/stage29_environment_matrix.csv","Stage01-Stage28","Traceability records rather than new empirical results","T29-S28_REPRODUCIBILITY_STATUS","MANUSCRIPT_REPRODUCTION_INDEX.csv all entries C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-024,"5. Results","claims/final_claim_registry.csv; evidence/master_evidence_matrix.csv; evidence/final_manuscript_numbers.csv","Stage05-Stage28","E29-004..E29-040 excluding supplement-only E29-018 and E29-019","T29-01..T29-06 and approved F22R F23 F24 F25 F26 F27 exhibits","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-025,"5.1 Conventional Benchmark Performance","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage04;Stage05;Stage08;Stage09","E29-004;E29-005;E29-006;E29-007;E29-009;E29-010;E29-011","T29-01;T29-S02;T29-S03","Pre-Stage22: traced through Stage29 evidence equivalence and environment matrices"
MSM-026,"5.2 Temporal Validity","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage22;Stage28","E29-020;E29-021;E29-037;E29-038;E29-040","F22R-01;F22R-02;F22R-03;T29-03;T29-S26","C22-003..C22-009;C28-001;C28-002;C28-005"
MSM-027,"5.3 Shortcut Sensitivity","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage13;Stage23","E29-015;E29-022;E29-023","F23-01;T29-S05..T29-S11","C23-001..C23-008; pre-Stage22 explanation evidence via Stage29 matrices"
MSM-028,"5.4 Cross-Dataset Transfer","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage24","E29-024;E29-025;E29-026;E29-027","F24-01;F24-02;T29-04;T29-S12;T29-S13;T29-S14","C24-001..C24-012"
MSM-029,"5.5 Prevalence and Operational Consequences","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage25","E29-028;E29-029;E29-030;E29-031","F25-01;T29-05;T29-S15..T29-S18","C25-001..C25-005"
MSM-030,"5.6 Deployment Characteristics","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage26","E29-032;E29-033","F26-01;T29-S19..T29-S24;T29-M02","C26-001..C26-005"
MSM-031,"5.7 Unseen-Family Evaluation","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage27;Stage28","E29-034;E29-035;E29-036;E29-039","F27-01;F27-02;T29-06;T29-S25;T29-S27","C27-001..C27-005;C28-003..C28-005"
MSM-032,"5.8 Seed and Control Stability","claims/final_claim_registry.csv; evidence/final_manuscript_numbers.csv; manuscript/claim_figure_table_graph.csv","Stage28","E29-037;E29-038;E29-039;E29-040;E29-041","T29-03;T29-06;T29-S26;T29-S27","C28-001..C28-005"
MSM-033,"5.9 Integrated Validity Matrix","claims/final_claim_registry.csv; evidence/master_evidence_matrix.csv; manuscript/claim_figure_table_graph.csv","Stage01-Stage28","CLM29-001..CLM29-016 excluding supplement-only CLM29-006 and CLM29-007","T29-02_VALIDITY_AXIS_MATRIX","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-034,"6. Discussion","claims/final_claim_registry.csv; manuscript/claim_figure_table_graph.csv; manuscript/limitations_matrix.csv","Stage01-Stage28","CLM29-001..CLM29-016 excluding supplement-only CLM29-006 and CLM29-007","T29-02_VALIDITY_AXIS_MATRIX","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-035,"6.1 Benchmark Performance Is Not Deployment Evidence","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage05;Stage22;Stage24;Stage27","CLM29-001;CLM29-008;CLM29-011;CLM29-015","T29-01;T29-02","C22-003..C22-009;C24-001..C24-012;C27-001..C27-005; pre-Stage22 via Stage29 matrices"
MSM-036,"6.2 Temporal and Shortcut Effects","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage22;Stage23;Stage28","CLM29-008;CLM29-009;CLM29-010;CLM29-016","F22R-01;F22R-02;F22R-03;F23-01;T29-03","C22-001..C22-009;C23-001..C23-008;C28-001;C28-002;C28-005"
MSM-037,"6.3 Transferability Is Conditional and Asymmetric","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage24","CLM29-011;CLM29-012","F24-01;F24-02;T29-04;T29-S14","C24-001..C24-012"
MSM-038,"6.4 Ranking Quality and Operating-Point Utility Are Distinct","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage22;Stage25","CLM29-009;CLM29-013","F22R-03;F25-01;T29-05","C22-003..C22-009;C25-001..C25-005"
MSM-039,"6.5 Novel-Family Performance Is Family- and Learner-Dependent","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage27;Stage28","CLM29-015","F27-01;F27-02;T29-06","C27-001..C27-005;C28-003..C28-005"
MSM-040,"6.6 Implications for IDS Evaluation Practice","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage01-Stage28","CLM29-001;CLM29-008;CLM29-009;CLM29-010;CLM29-011;CLM29-013;CLM29-014;CLM29-015;CLM29-016","T29-02_VALIDITY_AXIS_MATRIX","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-041,"7. Limitations","manuscript/limitations_matrix.csv; manuscript/claim_figure_table_graph.csv","Stage01-Stage28","LIM29-001..LIM29-018","T29-S28_REPRODUCIBILITY_STATUS","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-042,"7.1 Dataset and provenance limitations","manuscript/limitations_matrix.csv","Stage01;Stage18;Stage21;Stage24","LIM29-001;LIM29-002;LIM29-004;LIM29-005;LIM29-015;LIM29-016;LIM29-017","T29-S14; supplementary Stage18 and Stage21 exhibits only","C24-001..C24-012; pre-Stage22 via Stage29 matrices"
MSM-043,"7.2 Protocol and scope limitations","manuscript/limitations_matrix.csv","Stage18;Stage22;Stage27;Stage28","LIM29-003;LIM29-006;LIM29-007;LIM29-018","T29-03;T29-06;T29-S27","C22-001..C22-009;C27-001..C27-005;C28-001..C28-005"
MSM-044,"7.3 Statistical limitations","manuscript/limitations_matrix.csv","Stage08;Stage09;Stage12;Stage23;Stage24;Stage28","LIM29-008;LIM29-009","T29-S02;T29-S03;T29-S07;T29-S12;T29-S26","C23-006;C24-006..C24-009;C28-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-045,"7.4 Operational-assumption limitations","manuscript/limitations_matrix.csv","Stage10;Stage25","LIM29-012;LIM29-013","T29-05;T29-S15..T29-S18","C25-001..C25-005; pre-Stage22 via Stage29 matrices"
MSM-046,"7.5 Computational limitations","manuscript/limitations_matrix.csv","Stage26","LIM29-011","F26-01;T29-S19..T29-S24;T29-M02","C26-001..C26-005"
MSM-047,"7.6 Reproducibility limitations","manuscript/limitations_matrix.csv; provenance/stage29_equivalence_matrix.csv; environment/stage29_environment_matrix.csv","Stage01-Stage28","LIM29-010;LIM29-014;LIM29-015","T29-S28_REPRODUCIBILITY_STATUS","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-048,"8. Conclusion","claims/final_claim_registry.csv; manuscript/limitations_matrix.csv","Stage01-Stage28","CLM29-001;CLM29-008;CLM29-009;CLM29-010;CLM29-011;CLM29-013;CLM29-014;CLM29-015;CLM29-016","T29-02_VALIDITY_AXIS_MATRIX","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
MSM-049,References,"manuscript/proposed_structure.md; docs/manuscript/MANUSCRIPT_REFERENCE_AUDIT.md","NOT_APPLICABLE_PASS1","No citations asserted; all literature needs remain REFERENCE GAP entries","NONE","NOT_APPLICABLE_PASS1_NO_EXTERNAL_REFERENCE_VERIFICATION"
MSM-050,"Supplementary Material Plan","figures/final_figure_registry.csv; figures/final_table_registry.csv; manuscript/claim_figure_table_graph.csv","Stage01-Stage28","Supplement-only and supporting artifacts remain outside the main scientific narrative","Stage29-approved main and supplementary figure/table registries","C22-001..C28-005; pre-Stage22 via Stage29 matrices"
