location,current_text_summary,claim_id,evidence_status,action,reason,replacement_direction
"docs/STAGE18_MANUSCRIPT_INTEGRATION.md:106","Says the framework validated a source-restricted graph formulation with strong ranking.","CLM29-006","CONDITIONAL","REWRITE","The word validated can be read as deployment or causal validation despite zero threshold detection and source restriction.","Say the audit identified a source-authenticated graph formulation with descriptive ranking/threshold divergence."
"docs/STAGE22R_MANUSCRIPT_INTEGRATION.md:19-29","Presents a source-faithful random/chronological by natural/rebalanced design.","CLM29-008;CLM29-009","PRIMARY","MOVE_TO_METHODS","The design belongs in the temporal-validity methods component rather than a stage chronology.","Describe the four-cell design and shared final target without the Stage22R label in the main narrative."
"docs/STAGE22R_MANUSCRIPT_INTEGRATION.md:158-177","Says development protocol changes the generalization story and separates ranking from threshold transfer; rejects a specific mechanism.","CLM29-008;CLM29-009;CLM29-016","MIXED","KEEP","The central interpretation agrees with Stage28 and keeps causal limits visible.","Update the evidence to five-seed Stage28 closure and replace dramatic language with exact native metrics."
"docs/STAGE22R_MANUSCRIPT_INTEGRATION.md:208-217","Calls the temporal-validation change dramatic and says the experiment demonstrates why ranking and threshold transfer must be separated.","CLM29-008;CLM29-009","PRIMARY","REWRITE","The principle survives but the single-seed emphasis is superseded by Stage28 and dramatic is unnecessary.","Lead with five-seed means/SD and 5/5 descriptive ordering; retain threshold-transfer failure separately."
"results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_results_integration.tex:7-13","Contrasts near-perfect random validation with chronological performance near its prevalence anchor.","CLM29-010","SENSITIVITY","KEEP","The native metrics and prevalence anchor are explicit.","Keep as compact evidence for split-sensitive cues rather than as a standalone model-performance section."
"results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_results_integration.tex:15-25","Says significant interactions and stump discrimination do not alone identify leakage or causality.","CLM29-010;CLM29-020","PARTIAL","KEEP","The language preserves the causal boundary and placebo contradiction.","Retain in results and discussion with the seven-subset protocol summarized in methods."
"results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_results_integration.tex:27-30","Labels normalized learner SHAP shares as descriptive rather than exact ensemble SHAP.","CLM29-010","DESCRIPTIVE","MOVE_TO_SUPPLEMENT","This is an important technical qualifier for a secondary explanation exhibit.","Place with the SHAP proxy-absorption supplement table/figure."
"results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/manuscript/stage23_results_integration.tex:32-39","Concludes strong validation sensitivity and poor forward-temporal transfer without calling tested features leakage.","CLM29-010","SUPPORTED_WITHIN_SCOPE","KEEP","The bounded conclusion is consistent with the final claim registry.","Retain with split learner and family-composition qualifiers."
"docs/STAGE24_MANUSCRIPT_INTEGRATION.md:152-159","Says cross-dataset behavior is directional and the two directions are not averaged.","CLM29-011","PRIMARY","KEEP","This is central evidence and obeys the heterogeneous-metric/direction policy.","Use in cross-dataset results and the integrated validity matrix."
"docs/STAGE24_MANUSCRIPT_INTEGRATION.md:195-243","Lists benchmark bridge prevalence serialization cancellation and causal limitations.","CLM29-011;CLM29-012","MIXED","MOVE_TO_LIMITATIONS","These limitations directly bound the transfer claim and cannot be hidden in supplement.","Condense the highest-severity limits into the main limitations section and preserve full detail in supplement."
"docs/STAGE24_MANUSCRIPT_INTEGRATION.md:296-318","Provides a full bidirectional results paragraph including conditional flag intervals and cancelled cells.","CLM29-011;CLM29-012","MIXED","REWRITE","The paragraph is stage-centric and numerically dense for the integrated paper.","Split into direction-specific main ranking result flag-sensitivity supplement and visible cancellation limitation."
"docs/STAGE25_MANUSCRIPT_INTEGRATION.md:12-20","Reports high projected PPV and alert volume for the random standard point at 0.1% prevalence.","CLM29-013","CONDITIONAL","KEEP","The numbers expose why PPV and workload must be interpreted separately.","Retain with prior-shift and analyst-time qualifiers."
"docs/STAGE25_MANUSCRIPT_INTEGRATION.md:54-62","Calls the reverse transfer direction operationally collapsed under the projection.","CLM29-013","CONDITIONAL","REWRITE","Operationally collapsed is broader than a deterministic 0.1% prior-shift projection.","State the frozen reverse STANDARD projection yielded PPV 0.000257610-0.000287993 at 0.1% under invariant-rate assumptions."
"docs/STAGE25_MANUSCRIPT_INTEGRATION.md:119-131","Explicitly labels projections conditional and not empirical production validation.","CLM29-013","CONDITIONAL","KEEP","These assumptions are indispensable to the claim ceiling.","Keep in main methods/limitations and do not relegate them solely to supplement."
"docs/STAGE26_MANUSCRIPT_INTEGRATION.md:19-33","Recommends four core deployment exhibits including CPU/GPU speedup Pareto and GPU memory.","CLM29-014","HARDWARE_SPECIFIC","REWRITE","Four deployment exhibits are redundant for the final paper and the Pareto groups cannot be combined.","Select one main hardware-specific deployment exhibit and move detailed profiles to supplement."
"docs/STAGE26_MANUSCRIPT_INTEGRATION.md:53-64","States component-level rather than end-to-end scope and hardware/backend boundaries.","CLM29-014","HARDWARE_SPECIFIC","KEEP","These restrictions correctly prevent universal timing and unsupported-backend claims.","Place concise boundaries adjacent to the main deployment result and full list in limitations."
"docs/STAGE27_MANUSCRIPT_INTEGRATION.md:179-223","Reports family-specific LOAO results and concludes selective rather than uniform transfer.","CLM29-015","PRIMARY","KEEP","The conclusion is bounded by eligibility and support.","Update single-run emphasis with Stage28 stability categories and retain native family metrics."
"docs/STAGE27_MANUSCRIPT_INTEGRATION.md:202-209","Describes BOT traffic as showing substantial collapse.","CLM29-015","PRIMARY","REWRITE","Collapse is rhetorically broad and obscures learner dependence and metric-specific behavior.","State the learner-specific ROC/PR results and note BOT threshold recall was zero under the frozen points."
"docs/STAGE27_MANUSCRIPT_INTEGRATION.md:313-334","Separates ranking from threshold behavior and rejects universal learner superiority or a simple causal mechanism.","CLM29-015;CLM29-016","MIXED","KEEP","This synthesis is consistent with Stage28 and preserves contradiction.","Condense into the unseen-family discussion."
"docs/STAGE27_MANUSCRIPT_INTEGRATION.md:336-343","Explains two structurally ineligible families as a benchmark limitation.","CLM29-015","LOW_SUPPORT","MOVE_TO_LIMITATIONS","Eligibility constrains the scientific scope and must remain visible.","Name DOS and AUTH_BRUTE_FORCE in the main limitations matrix."
"results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md:21-38","Reports five-seed random and chronological means SDs and 5/5 ordering as descriptive stability.","CLM29-008","PRIMARY","KEEP","This is the final empirical closure for the central temporal contrast.","Use as the main temporal result while stating that 5/5 is not a significance test."
"results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md:101-117","Allows chronology-compounding wording but rejects a sole causal drift explanation aggregate zero-day score and new-blind-holdout framing.","CLM29-016;CLM29-015","NEGATIVE_RESULT","KEEP","These are mandatory interpretation boundaries from the final empirical wall.","Carry each boundary into Results Discussion and Limitations."
"results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md:121-132","Provides a manuscript-safe conclusion on temporal seed stability and family/learner-specific novelty.","CLM29-008;CLM29-015;CLM29-016","PRIMARY","KEEP","This is the strongest integrated Stage28 claim wording.","Use as the evidence ceiling but reorganize it by scientific axes rather than stage."
