"audit_id","manuscript_location","claim_id","claim_text_summary","evidence_ids","qualifier_present","limitation_link","registry_status","occurrence_status"
"FCA-015","Introduction, evidence paragraph","CLM29-015","Withheld-family outcomes were heterogeneous","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-016","Introduction, evidence paragraph","CLM29-013","Projected PPV and workload did not align uniformly","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-017","Introduction, contribution 2","CLM29-008","The temporal audit closes ranking direction over a frozen seed set","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-018","Introduction, contribution 2","CLM29-009","The temporal audit separates threshold transfer from ranking","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-019","Introduction, contribution 3","CLM29-010","The shortcut audit preserves placebos and interpretation limits","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-020","Introduction, contribution 3","CLM29-011","The transfer audit preserves direction and bridge restrictions","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-021","Introduction, contribution 3","CLM29-012","Cancelled cross-dataset analyses remain visible","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"FCA-022","Introduction, contribution 4","CLM29-013","Operational quantities remain assumption-explicit","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-023","Introduction, contribution 4","CLM29-014","Compute profiles remain hardware-specific","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-024","Introduction, contribution 5","CLM29-015","Family results retain eligibility support and learner dependence","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-025","Datasets 3.1, processed role","CLM29-001","The processed reference supports only within-table claims","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-026","Datasets 3.1, temporal role","CLM29-005","Inherited membership was unsafe for temporal-window evaluation","E29-016","YES: with incomplete timestamp recovery and for temporal-window claims","This does not invalidate every use of the split or identify concept drift","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-027","Datasets 3.2, direction paragraph","CLM29-011","Bridge directions cannot be averaged","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-028","Datasets 3.2, cancellation paragraph","CLM29-012","Two exact-membership cells remained cancelled","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"FCA-029","Datasets 3.3, family paragraph","CLM29-015","Eligibility and support constrain family conclusions","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-030","Methods 4.1","CLM29-001","Reference metrics establish a within-table condition only","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-031","Methods 4.2","CLM29-008","Five frozen seeds assess the temporal ranking direction","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-032","Methods 4.2","CLM29-009","Ranking and operating-point transfer are separate temporal outcomes","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-033","Methods 4.2","CLM29-016","Family-aware controls limit causal interpretation","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-034","Methods 4.3","CLM29-010","Shortcut effects require split learner and placebo context","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-035","Methods 4.3","CLM29-004","LIME stability fidelity and decision agreement are separate","E29-015","YES: in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-036","Methods 4.4","CLM29-011","Transfer conclusions are bridge- and direction-specific","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-037","Methods 4.4","CLM29-012","Cancelled GROUNDED_S4 cells remain absent","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"FCA-038","Methods 4.5","CLM29-013","Prior-shift outputs are conditional operational projections","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-039","Methods 4.6","CLM29-014","Profiling establishes only measured compatible-path feasibility","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-040","Methods 4.7","CLM29-015","LOAO inference is family learner support metric and threshold specific","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-041","Methods 4.8","CLM29-008","Temporal stability is evaluated without best-seed selection","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-042","Methods 4.8","CLM29-015","Family stability remains family- and learner-specific","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-043","Methods 4.8","CLM29-016","Random LOAO controls cannot identify one mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-044","Results 5.1, paragraph 1","CLM29-001","Selected reference learners had strong frozen holdout discrimination","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-045","Results 5.1, paragraph 2","CLM29-002","Balanced learner difference was unresolved on the frozen holdout","E29-009","YES: on the frozen holdout and historical paired bootstrap","A non-resolved difference does not prove equivalence","KEEP","RESOLVED"
"FCA-046","Results 5.1, paragraph 2","CLM29-003","No resolved calibration winner was identified","E29-011","YES: without recalibration on the frozen holdout","Calibration under deployment prior shift was not measured","KEEP","RESOLVED"
"FCA-047","Results 5.2, paragraph 1","CLM29-008","Chronological ranking exceeded random ranking in all frozen seeds","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-048","Results 5.2, paragraph 2","CLM29-009","Frozen temporal thresholds transferred poorly","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-049","Results 5.2, paragraph 2","CLM29-016","Family-aware controls did not isolate chronology","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-050","Results 5.3, paragraph 1","CLM29-010","Subset effects depended on split learner and placebo context","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-051","Results 5.3, paragraph 2","CLM29-004","Stable LIME rankings frequently lacked local fidelity","E29-015","YES: in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-052","Results 5.4, paragraph 1","CLM29-011","Bridge62 transfer was strongly asymmetric","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-053","Results 5.4, paragraph 2","CLM29-012","Two GROUNDED_S4 cells remained cancelled","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"FCA-054","Results 5.5","CLM29-013","PPV workload yield and cost preference diverged under frozen scenarios","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-055","Results 5.6","CLM29-014","Backend advantage varied by compatible path on measured hardware","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-056","Results 5.7","CLM29-015","Eligible-family performance was selective and learner dependent","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-057","Results 5.8, temporal sentence","CLM29-008","The chronological temporal ordering survived all evaluated seeds","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-058","Results 5.8, family sentence","CLM29-015","Family stability classifications remained heterogeneous","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-059","Results 5.8, control sentence","CLM29-016","Random controls did not identify one mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-060","Results 5.9, synthesis sentence","CLM29-001","Strong benchmark discrimination survived within reference scope","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-061","Results 5.9, synthesis sentence","CLM29-008","Chronological ranking survived within the frozen seed scope","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-062","Results 5.9, synthesis sentence","CLM29-011","Forward bridge signal survived while reverse transfer did not","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-063","Results 5.9, synthesis sentence","CLM29-015","Selected family transfer survived under eligibility gates","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-064","Results 5.9, synthesis sentence","CLM29-014","Compatible compute paths were feasible on measured hardware","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-065","Results 5.9, synthesis sentence","CLM29-009","Frozen thresholds did not transfer uniformly","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-066","Results 5.9, synthesis sentence","CLM29-010","Shortcut evidence did not support simple causal wording","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-067","Results 5.9, synthesis sentence","CLM29-016","No sole shortcut or temporal mechanism was isolated","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-068","Results 5.9, synthesis sentence","CLM29-013","Operational preference was scenario-dependent","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-069","Results 5.9, synthesis sentence","CLM29-015","Family conclusions were not uniform","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-070","Discussion 6.1, paragraph 1","CLM29-001","Reference discrimination remains valid but bounded","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-071","Discussion 6.1, paragraph 2","CLM29-008","Chronological forward ranking survived","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-072","Discussion 6.1, paragraph 2","CLM29-011","Forward bridge ranking survived directionally","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-073","Discussion 6.1, paragraph 2","CLM29-015","Selected eligible-family discrimination survived","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-074","Discussion 6.1, paragraph 2","CLM29-014","Compatible computational feasibility survived within hardware scope","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-075","Discussion 6.2, paragraph 1","CLM29-008","Chronological ranking remained higher in frozen realizations","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-076","Discussion 6.2, paragraph 1","CLM29-009","Inherited thresholds remained poor","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-077","Discussion 6.2, paragraph 1","CLM29-016","Controls prevented sole chronology or drift attribution","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-078","Discussion 6.2, paragraph 2","CLM29-010","Placebos constrained named shortcut interpretations","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-079","Discussion 6.2, paragraph 2","CLM29-004","LIME repeatability coexisted with fidelity failure","E29-015","YES: in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-080","Discussion 6.3, paragraph 1","CLM29-011","Transfer is a source-to-target statement","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-081","Discussion 6.3, paragraph 1","CLM29-012","Exact membership governance left planned cells unestimable","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"FCA-082","Discussion 6.3, paragraph 2","CLM29-009","Ranking can coexist with unsuitable transferred thresholds","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-083","Discussion 6.4, paragraph 1","CLM29-013","PPV workload yield and cost remain scenario-dependent","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-084","Discussion 6.4, paragraph 2","CLM29-014","Compute results retain component and hardware boundaries","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-085","Discussion 6.5","CLM29-015","Withheld-family evidence remains heterogeneous","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-086","Discussion 6.6, tension paragraph","CLM29-001","Benchmark and forward evidence remain adjacent","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-087","Discussion 6.6, tension paragraph","CLM29-009","Ranking remains paired with threshold behavior","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-088","Discussion 6.6, tension paragraph","CLM29-011","Both transfer directions remain visible","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-089","Discussion 6.6, tension paragraph","CLM29-010","Named feature effects remain paired with placebo effects","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-090","Discussion 6.6, tension paragraph","CLM29-004","Explanation stability remains paired with fidelity","E29-015","YES: in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-091","Discussion 6.6, tension paragraph","CLM29-013","PPV remains paired with workload and yield","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-092","Discussion 6.6, tension paragraph","CLM29-015","Family summaries retain learner and support strata","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-093","Discussion 6.6, uncertainty paragraph","CLM29-008","Five-seed ordering is not promoted to a significance test","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-094","Discussion 6.6, uncertainty paragraph","CLM29-014","Hardware ratios are not deployment constants","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-095","Conclusion, paragraph 1","CLM29-001","Strong reference discrimination survived within scope","E29-004;E29-005;E29-006;E29-007","YES: under the early processed and stratified reference condition","The processed reference split is not temporal cross-dataset or deployment evidence","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-096","Conclusion, paragraph 1","CLM29-008","Chronological ranking survived five frozen seeds","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-097","Conclusion, paragraph 1","CLM29-011","Forward cross-dataset signal survived","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-098","Conclusion, paragraph 1","CLM29-015","Several eligible withheld families remained discriminable","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-099","Conclusion, paragraph 1","CLM29-014","Compatible paths were feasible on recorded hardware","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-100","Conclusion, paragraph 2","CLM29-009","Frozen thresholds transferred poorly","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-101","Conclusion, paragraph 2","CLM29-011","Reverse transfer remained near its anchor","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-102","Conclusion, paragraph 2","CLM29-010","Shortcut interactions did not identify a universal removal benefit","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-103","Conclusion, paragraph 2","CLM29-016","Shortcut controls did not isolate one mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"FCA-104","Conclusion, paragraph 2","CLM29-013","Operational conclusions depended on frozen assumptions","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-105","Conclusion, paragraph 2","CLM29-015","Family outcomes varied by learner and support","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-106","Supplement S1","CLM29-004","LIME materials retain stable-but-unfaithful evidence","E29-015","YES: in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-107","Supplement S2","CLM29-006","Source-restricted graph result remains supplement-only","E29-018","YES: on the source-restricted subset at the frozen threshold","Unseen topology was not estimable","SUPPLEMENT_ONLY","RESOLVED"
"FCA-108","Supplement S2","CLM29-007","Descriptive CNN and ViT result remains supplement-only","E29-019","YES: descriptively under the frozen Stage21 conditions","Single model realizations do not establish architecture superiority","SUPPLEMENT_ONLY","RESOLVED"
"FCA-109","Supplement S3","CLM29-011","Bridge directions remain separate in supplement","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-110","Supplement S3","CLM29-012","Cancelled cells remain cancelled in supplement","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"FCA-111","Supplement S4","CLM29-013","Operational material remains prior-shift scenario evidence","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-112","Supplement S5","CLM29-014","Profiling material remains hardware and component specific","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-113","Supplement S6","CLM29-008","Detailed temporal seed evidence remains finite-realization","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"FCA-114","Supplement S6","CLM29-015","Family evidence remains separate by eligibility support and learner","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
