citation_key,literature_claim_ids,manuscript_locations,support_type,source_quality,notes,literature_claim_id,citation_keys,coverage_status,mapping_direction
,,,,,"Temporal contrast causal restraint",LC-021,"arp2022dos;pendlebury2019tesseract",FULL,CLAIM_TO_CITATION
,,,,,"Unsupported feature enumeration removed",LC-022,"engelen2021troubleshooting;arp2022dos",FULL,CLAIM_TO_CITATION
,,,,,"Sensitivity-to-intervention is not causal identification",LC-023,"arp2022dos",FULL,CLAIM_TO_CITATION
,,,,,"Placebo precedent removed; competing-explanation controls retained",LC-024,"arp2022dos",FULL,CLAIM_TO_CITATION
,,,,,"Original method sources",LC-025,"ribeiro2016lime;lundberg2017shap;lundberg2020trees",FULL,CLAIM_TO_CITATION
,,,,,"Fidelity and sensitivity covered separately",LC-026,"ribeiro2016lime;yeh2019infidelity",FULL,CLAIM_TO_CITATION
,,,,,"Common-response frequency wording removed",LC-027,"dhooge2020interdataset;layeghy2023crossdomain",FULL,CLAIM_TO_CITATION
,,,,,"Narrowed to verified pairing representation and direction factors",LC-028,"dhooge2020interdataset;layeghy2023crossdomain;cantone2024crossdataset",FULL,CLAIM_TO_CITATION
,,,,,"Direct asymmetry evidence",LC-029,"layeghy2023crossdomain;cantone2024crossdataset",FULL,CLAIM_TO_CITATION
,,,,,"Economic-preference clause removed from external claim",LC-030,"axelsson2000baserate;layman2023falsealarms;saito2015precision",FULL,CLAIM_TO_CITATION
,,,,,"Prior-shift assumptions and projection boundary",LC-031,"saerens2002prior",FULL,CLAIM_TO_CITATION
,,,,,"Exhaustive deployment-factor list narrowed to measured system boundaries",LC-032,"mattson2020mlperf;mirsky2018kitsune",FULL,CLAIM_TO_CITATION
,,,,,"Hardware/software/workload reporting boundary",LC-033,"mattson2020mlperf;mirsky2018kitsune",FULL,CLAIM_TO_CITATION
,,,,,"Open-set and unknown-attack terminology supported without frequency overreach",LC-034,"scheirer2013openset;zoppi2023unknown;shin2023openset",FULL,CLAIM_TO_CITATION
,,,,,"LOAO-standard wording removed; protocol dependence retained",LC-035,"zoppi2023unknown;shin2023openset",FULL,CLAIM_TO_CITATION
,,,,,"Bounded unknown classes are not arbitrary future attacks",LC-036,"scheirer2013openset;zoppi2023unknown",FULL,CLAIM_TO_CITATION
,,,,,"Code details reporting and independent regeneration context",LC-037,"pineau2021reproducibility",FULL,CLAIM_TO_CITATION
,,,,,"Adaptive holdout risk",LC-038,"dwork2015holdout",FULL,CLAIM_TO_CITATION
,,,,,"Official CSE-CIC-IDS2018 provenance; processed table distinctions remain internal",LC-039,"cse_cic_ids2018_official;sharafaldin2018toward",FULL,CLAIM_TO_CITATION
,,,,,"Official CICIDS2017 provenance and original associated publication",LC-040,"cicids2017_official;sharafaldin2018toward",FULL,CLAIM_TO_CITATION
