stage,config_path,source_notebook_or_script,source_cells,source_protocol,frozen_result_dependencies,environment_dependency,scientific_execution_allowed,notes
Stage13,configs/stage13/protocol.json,NB001,130-146,Frozen LIME/reliability protocol,results/lime;metadata/lime;figures/lime;tables/lime,Core runtime proven; SHAP/SciPy/Matplotlib unproven,FALSE,"No explanation or holdout reconstruction."
Stage14,configs/stage14/protocol.json,NB001,147-161,Frozen IG/neural compatibility protocol,results/stage14_integrated_gradients,TensorFlow runtime proven; ancillary versions partial,FALSE,"No model load inference gradient or attribution."
Stage15,configs/stage15/protocol.json,NB001,"162-170;172-189",Preholdout architecture/duplicate/runtime locks,results/stage15_transformer_checkpoint,Stage15 isolated P100 environment,FALSE,"Five checkpoints hash-only; holdout closed."
Stage16,configs/stage16/protocol.json,NB001,"171;190-222",Frozen classical benchmark registry,results/stage16_classical_benchmark_checkpoint,Historical runtime VERSION_NOT_PROVEN,FALSE,"Models and scaler are byte-verified only."
Stage17,configs/stage17/protocol.json,NB001,223-239,Frozen attention/explainability protocol,results/stage17_attention_explainability_checkpoint,Historical runtime VERSION_NOT_PROVEN,FALSE,"Checkpoint load and attention extraction disabled."
Stage18,configs/stage18/protocol.json,NB001,240-289,Branch-specific feasibility and repaired-runtime receipts,results/stage18_representation_feasibility_checkpoint,Separate repaired Stage18 P100 environment,FALSE,"Six checkpoints hash-only; scientific branches not rerun."
Stage19,configs/stage19/protocol.json,NB001,290-311,Temporal materialization/model/runtime locks,results/stage19_mtemporal_checkpoint,Separate Stage19 P100 environment,FALSE,"No temporal materialization fitting or inference."
Stage20,configs/stage20/protocol.json,NB001,312-461,STAGE20_SUBSTAGE_MAP.md; five Stage20 subconfigs,"results/stage20_* roots listed in protocol",Multiple separate forensic/P100/T4 environments,FALSE,"Raw PCAP/corpus/model operations disabled; later Friday evidence unmapped."
Stage21,configs/stage21/protocol.json,"NB001;NB007;exact Stage21 scripts","NB001:462-488;NB007:2-85",STAGE21_24_SOURCE_REGISTRY.csv,results/stage21_architecture,Stage21 T4 receipt,FALSE,"Notebook-plus-script chronology; restored corpora external."
Stage22,configs/stage22/protocol.json,NB007,86-139,Stage22/Stage22R frozen protocol locks,"results/stage22_temporal_session_safe;results/stage22r_protocol_recovery;results/stage22r_training",Learners proven; Python/GPU VERSION_NOT_PROVEN,FALSE,"Notebook-canonical; no standalone historical scientific script."
Stage23,configs/stage23/protocol.json,"NB008;scripts/stage23_shortcut_feature_audit_kaggle.py",1-78,Stage23 protocol/fit/opening/closure receipts,results/stage23_shortcut_feature_audit,Packages proven; Python/GPU VERSION_NOT_PROVEN,FALSE,"Script-canonical methodology; notebook-canonical outputs."
Stage24,configs/stage24/protocol.json,"NB009;NB003;Stage24 script",1-62,Stage24 bootstrap/protocol/ledger receipts,results/stage24_cross_dataset,Stage24 two-T4 runtime receipt,FALSE,"Two GROUNDED_S4 cells remain cancelled."
Stage25,configs/stage25/protocol.json,"NB010;Stage25 exact script",1-8,Stage25 frozen protocol locks,results/stage25_prevalence_stress,Python proven; other versions VERSION_NOT_PROVEN,FALSE,"Deterministic scalar equations are testable without scientific inputs."
Stage26,configs/stage26/protocol.json,"NB011;archival Kaggle virtual source",1-108,Stage26 CPU/T4 measurement locks and receipts,results/stage26_deployment_profiling,Separate Stage26 CPU and T4 environments,FALSE,"Timing loops disabled; historical milliseconds archival."
Stage27,configs/stage27/protocol.json,"NB012;late-cell Stage27 scripts",1-47,Stage27 taxonomy/membership/fit/opening locks,results/stage27_loao_unseen_attack,Stage27 CPU receipt,FALSE,"Targets closed; frozen membership invariants only."
Stage28,configs/stage28/protocol.json,"NB013;late-cell Stage28 archive/script",1-47,Stage28 protocol/manifests/terminal ledgers,results/stage28_stability_novelty_control,Core CPU stack partial; learner versions VERSION_NOT_PROVEN,FALSE,"Final empirical wall; no scientific operation exposed."
