"stage","substage","scientific_role","notebook_source","notebook_cells","script_source","historical_execution_source","frozen_result_path","commit_sha","canonical_reproduction_source","status","notes"
"Stage22","Stage22R-0/1A","Kaggle-faithful protocol and K79 development cleaning","notebooks/archive/stage21_stage22_research_continues.ipynb","98-117","","executed notebook cells","results/stage22r_protocol_recovery/stage22r_0i_kaggle_faithful_protocol_amendment; results/stage22r_protocol_recovery/stage22r_1a3_k79_development_freeze","c094a5559b1c290f29bc2861ca4ade08878cd04f","archived notebook plus static frozen artifacts","NOTEBOOK_CANONICAL","No standalone historical script exists."
"Stage22","Stage22R-1B/1C","Four memberships and 70-feature development inputs","notebooks/archive/stage21_stage22_research_continues.ipynb","118-125","","executed notebook cells","results/stage22r_protocol_recovery/stage22r_1b1_development_memberships; results/stage22r_protocol_recovery/stage22r_1c_development_model_inputs","3cd41c5fa96a8993cc9d77e7ead503c99fdb0f42","archived notebook plus frozen memberships/manifests","NOTEBOOK_CANONICAL","Development-only materialization; final holdout still closed at this point."
"Stage22","Stage22R-2A","Random natural development validation","notebooks/archive/stage21_stage22_research_continues.ipynb","121-125","","executed notebook cell","results/stage22r_training/stage22r_2a_random_natural","a9da375fa9c0d45199d4530877f6c1ac90947c72","archived notebook plus result/model artifacts","NOTEBOOK_CANONICAL","Development validation only."
"Stage22","Stage22R-2B","Random rebalanced development validation","notebooks/archive/stage21_stage22_research_continues.ipynb","126-127","","executed notebook cell","results/stage22r_training/stage22r_2b_random_rebalanced","0f4bc7d7c49f31d511bb777899dc0315806f734d","archived notebook plus result/model artifacts","NOTEBOOK_CANONICAL","Development validation only."
"Stage22","Stage22R-2C","Chronological natural development validation","notebooks/archive/stage21_stage22_research_continues.ipynb","128-129","","executed notebook cell","results/stage22r_training/stage22r_2c_chronological_natural","3e8c056421d865358a5151e90ef0d49afa1bff43","archived notebook plus result/model artifacts","NOTEBOOK_CANONICAL","Development validation only."
"Stage22","Stage22R-2D/2E","Chronological rebalanced validation and four-cell audit","notebooks/archive/stage21_stage22_research_continues.ipynb","130-132","","executed notebook cells","results/stage22r_training/stage22r_2d_chronological_rebalanced; results/stage22r_training/stage22r_2e_development_matrix_audit","0bf5b9652ee918cad673af4a33597ad143edd113","archived notebook plus result/audit artifacts","NOTEBOOK_CANONICAL","All four development cells frozen before final opening."
"Stage22","Stage22R-FINAL","Single shared Mar1-Mar2 final-holdout opening","notebooks/archive/stage21_stage22_research_continues.ipynb","133-136","","executed notebook cell 135 and push recovery","results/stage22r_training/stage22r_final_single_holdout","b5e44615269198426cc8a9aa3b3e701c2ca9e48e","archived notebook plus frozen final result","NOTEBOOK_CANONICAL","One of one opening consumed; permanently closed; no post-holdout adaptation."
"Stage22","Stage22R publication closeout","Figures and manuscript closeout from frozen summaries","notebooks/archive/stage21_stage22_research_continues.ipynb","137-139","","executed notebook cells","results/stage22r_training/stage22r_publication_closeout","fafb131981b6e15e47bdf35fd8c18ea228680fe3","archived notebook plus publication manifest","NOTEBOOK_CANONICAL","No scientific operation."
"Stage23","Stage23-0","Shortcut-feature protocol lock","notebooks/archive/stage23_research_executed.ipynb","1-10","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and 75-cell export","results/stage23_shortcut_feature_audit/stage23_0_protocol_lock","2c36cb669aa1efcd6ca15dfaddecdd0d6fbbb460","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","Protocol fixed 50-fit budget before primary execution."
"Stage23","Stage23-1","Primary subset audit under two natural splits","notebooks/archive/stage23_research_executed.ipynb","11-36","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and exported cells","results/stage23_shortcut_feature_audit/stage23_1_primary_ablation","359b6a2c1b548e6b9fc84d2712f0fb13714b1c24","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","FULL reused Stage22R; six reduced subsets by two splits produced 24 component fits."
"Stage23","Stage23-2","Matched placebo boosted controls","notebooks/archive/stage23_research_executed.ipynb","37-40","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and exported cells","results/stage23_shortcut_feature_audit/stage23_2_placebo_ablation","eca21e3f6a918d59c64af92eb701361dde91ada7","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","Five fixed placebo triplets by two splits; 20 component fits."
"Stage23","Stage23-3","Depth-one stump controls","notebooks/archive/stage23_research_executed.ipynb","41-48","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and exported cells","results/stage23_shortcut_feature_audit/stage23_3_stump_controls","f2cd2b59172179f9f0884d88e579276517de7a01","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","Exactly six stump fits complete the 50-fit budget."
"Stage23","Stage23-4","Paired stratified bootstrap uncertainty","notebooks/archive/stage23_research_executed.ipynb","49-51","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and exported cells","results/stage23_shortcut_feature_audit/stage23_4_uncertainty_analysis","1e687d964aa5247a3e5d0678223dc8de92cc5ade","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","1000 frozen replicates on fixed 50000-row cohorts; no regeneration authorized."
"Stage23","Stage23-5","TreeSHAP proxy-absorption analysis","notebooks/archive/stage23_research_executed.ipynb","52-58","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and exported cells","results/stage23_shortcut_feature_audit/stage23_5a_shap_materialization; results/stage23_shortcut_feature_audit/stage23_5b_treeshap_proxy_absorption","b927499efdf7d4dd5013054cc796f1115f879f8b","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","Frozen component SHAP only; no recomputation."
"Stage23","Stage23-6","Attack-family analysis","notebooks/archive/stage23_research_executed.ipynb","59-67","scripts/stage23_shortcut_feature_audit_kaggle.py","executed notebook and exported cells","results/stage23_shortcut_feature_audit/stage23_6_attack_family_analysis","3c874e3d20b2f38d842423c1f2316fd60a5eea68","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","Zero additional fits."
"Stage23","Stage23-7 and export","Final synthesis and source export","notebooks/archive/stage23_research_executed.ipynb","68-78","scripts/stage23_shortcut_feature_audit_kaggle.py","scientific closeout cells 68-75; archival export cells 76-78","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis","963b2da0043c7438624916280de154a5628f8879","scripts/stage23_shortcut_feature_audit_kaggle.py","SCRIPT_CANONICAL","Script preserves 75 scientific/notebook cells; cells 76-78 document the post-closure export."
"Stage24","Stage24-0","Pre-opening protocol and semantic bridges","notebooks/archive/stage24_cross_dataset_executed.ipynb","1-8","","executed notebook cells","results/stage24_cross_dataset/stage24_0_protocol_lock","9433af17b37906d57db078008002b4836d912186","archived notebook plus protocol artifacts","NOTEBOOK_CANONICAL","These cells are absent from the sanitized repository notebook/script."
"Stage24","Stage24-1A/1B","Primary source sanity and bridge62 source refit","notebooks/archive/stage24_cross_dataset_executed.ipynb","9-17","","executed notebook cells","results/stage24_cross_dataset/stage24_1_primary_source_sanity","683fe85839e63dcd5fd8e952fd07931b446652ff","archived notebook plus model/result artifacts","NOTEBOOK_CANONICAL","Two primary source fits complete; no target opening in these cells."
"Stage24","Stage24-1C","GROUNDED_S4 feasibility and administrative cancellation","notebooks/archive/stage24_cross_dataset_executed.ipynb","18-42","scripts/stage24/stage24_cross_dataset_generalization.py","executed notebook; recovered code-only export","results/stage24_cross_dataset/stage24_1_primary_source_sanity/stage24_1c_grounded_s4_membership","a90a4221ef5a5e9958777049bcf13cc56a3519d3","archived notebook plus recovered script and amendment","NOTEBOOK_PLUS_SCRIPT","Two cells cancelled before opening; no inferred GROUNDED_S4 values."
"Stage24","Stage24-2/3","Primary IDS2018 to CICIDS2017 transfer and paired freeze","notebooks/archive/stage24_cross_dataset_executed.ipynb","43-52","scripts/stage24/stage24_cross_dataset_generalization.py","executed notebook; recovered code-only export","results/stage24_cross_dataset/stage24_2_primary_target_openings; results/stage24_cross_dataset/stage24_3_primary_results_freeze","d624db8f14f96f9d2bde176df99653555cea842c","archived notebook plus recovered script and frozen results","NOTEBOOK_PLUS_SCRIPT","Four evaluable openings; PUBLISHED and FLAG_CORRECTED remain distinct."
"Stage24","Stage24-4","Secondary CICIDS2017 source training","notebooks/archive/stage24_cross_dataset_executed.ipynb","53-56","scripts/stage24/stage24_cross_dataset_generalization.py","executed notebook; recovered code-only export","results/stage24_cross_dataset/stage24_4_secondary_source_training","1390cf5c3f2a5c6ec6c20cf486ca6ee6c84d4769","archived notebook plus recovered script and frozen models","NOTEBOOK_PLUS_SCRIPT","Two source-only XGBoost fits; no target tuning."
"Stage24","Stage24-5","Secondary CICIDS2017 to IDS2018 target transfer","notebooks/archive/stage24_cross_dataset_executed.ipynb","57-58","scripts/stage24/stage24_cross_dataset_generalization.py","executed notebook; recovered code-only export","results/stage24_cross_dataset/stage24_5_secondary_target_openings","ce2913dd7a040b400be58acdacab4017bc4b45f7","archived notebook plus recovered script and frozen results","NOTEBOOK_PLUS_SCRIPT","Openings five and six; Mar1/Mar2 not used as rescue targets."
"Stage24","Stage24-6/PUB","Bidirectional synthesis and publication package","notebooks/archive/stage24_cross_dataset_executed.ipynb","59-62","scripts/stage24/stage24_cross_dataset_generalization.py","cell 59 scientific synthesis; cells 60-62 packaging/repair","results/stage24_cross_dataset/stage24_6_final_synthesis; results/stage24_cross_dataset/stage24_publication_package","ad5a01ae9021183f6c5b8046c2647fd5dad7cb6d","frozen synthesis plus recovered script","NOTEBOOK_PLUS_SCRIPT","Directions remain separate; no averaging; publication recovery is post-scientific."
