physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
11,,code,PRECURSOR,superseded,"start_time = time.time() transformer_history = transformer_model.fit( X_train_transformer, y_train, validation_split=0.2, epochs=29, batch_size=512, callbacks=callbacks, verbose=1 ) transformer_training_time = time.time() - start_time print(""Transformer training time for remaining epochs:"", transformer_training_time)",,,,0,15,0d8bafd0825bd522b0ff7ccdf544a3011597666ff775f16eedf4e0c43c45bd97,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
12,,code,PRECURSOR,superseded,"from tensorflow.keras.models import load_model import pandas as pd best_transformer_model = load_model(checkpoint_path) y_prob_transformer = best_transformer_model.predict( X_test_transformer, batch_size=1024 ).reshape(-1) transformer_result = evaluate_dl_model( ""Transformer Encoder"", y_test, y_prob_transformer, transformer_training_time, threshold=0.50 ) transformer_df = pd.DataFrame([transformer_result]) transformer_df.round(4)",,,,0,20,36df611f341a2bd739e56fc9266feeb1642e7f3c9cb976817233084a07456946,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
13,,code,PRECURSOR,superseded,"result_path = os.path.join(RESULTS_DIR, ""transformer_encoder_baseline_result.csv"") transformer_df.to_csv(result_path, index=False) print(""Saved:"", result_path) transformer_df.round(4)",,transformer_encoder_baseline_result.csv,,0,6,49206d132bc6eb9cbc746661e74518ecf1968cf658d397351ad0943756738d58,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
14,,code,PRECURSOR,superseded,"for root, dirs, files in os.walk(""/kaggle/working""): for file in files: if ""transformer"" in file.lower(): print(os.path.join(root, file))",,,,0,4,fb465d6935fe5f484ed1dca791329aac6d65267a23e4205a7d8eab4b98ffb730,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
15,,code,PRECURSOR,superseded,"transformer_df[""Training Time (sec)""] = 136.31697607040405 result_path = os.path.join(RESULTS_DIR, ""transformer_encoder_baseline_result.csv"") transformer_df.to_csv(result_path, index=False) transformer_df.round(4)",,transformer_encoder_baseline_result.csv,,0,6,71dd505c4144f0ae5d61b242c9a86903aaf24d8507ca343b999b0565547dfd31,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
16,,code,PRECURSOR,superseded,"import os import pandas as pd BASE_RESULTS_DIR = ""/kaggle/input/ai-ids-research-kaggle/results"" WORK_RESULTS_DIR = ""/kaggle/working/results"" result_files = [ os.path.join(BASE_RESULTS_DIR, ""full_baseline_model_comparison.csv""), os.path.join(BASE_RESULTS_DIR, ""additional_baseline_model_results.csv""), os.path.join(BASE_RESULTS_DIR, ""mlp_baseline_result.csv""), os.path.join(BASE_RESULTS_DIR, ""cnn_baseline_result.csv""), os.path.join(BASE_RESULTS_DIR, ""lstm_baseline_result.csv""), os.path.join(WORK_RES",,/kaggle/input/ai-ids-research-kaggle/results; /kaggle/working/results; full_baseline_model_comparison.csv; additional_baseline_model_results.csv; mlp_baseline_result.csv; cnn_baseline_result.csv; lstm_baseline_result.csv; transformer_encoder_baseline_result.csv,,0,31,7c2178553eb9c2c4aff00a4e2315a641a58bfff0c286c2c8ff3c1e407ac73039,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
17,,code,PRECURSOR,superseded,Clean column names,,/kaggle/input/ai-ids-research-kaggle/results; /kaggle/working/results; full_baseline_model_comparison.csv; additional_baseline_model_results.csv; mlp_baseline_result.csv; cnn_baseline_result.csv; lstm_baseline_result.csv; transformer_encoder_baseline_result.csv; final_ablation_model_comparison.csv,,0,44,8fb9986d699e6f92d6c1ec59467759f873fddb7f6b03e707e03c6de41f00f933,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
18,,code,PRECURSOR,superseded,"import os for dirname, _, filenames in os.walk(""/kaggle/input""): for filename in filenames: if filename.endswith("".csv""): print(os.path.join(dirname, filename))",/kaggle/input,,,0,6,a321133c785ffc55ee7f08b6aecf7920071eafccd17b2dc8020f31a02e417342,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
19,,code,PRECURSOR,superseded,Clean column names,,/kaggle/input/datasets/jmmubasshirrahman/ai-ids-research-kaggle/results; /kaggle/working/results; full_baseline_model_comparison.csv; additional_baseline_model_results.csv; mlp_baseline_result.csv; cnn_baseline_result.csv; lstm_baseline_result.csv; transformer_encoder_baseline_result.csv; final_ablation_model_comparison.csv,,0,49,b2f39038bfad33e533062a322a5916634c019d7238ed62b0c3cc1f167956a4d3,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
20,,code,PRECURSOR,superseded,"import os print(os.path.exists(""/kaggle/working/results/final_ablation_model_comparison.csv""))",,,results/final_ablation_model_comparison.csv,0,3,9f7d7700297459749a5e0ef715402e1ab6cd234d6ed457063a731b68a6266b51,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
21,,code,PRECURSOR,superseded,"from sklearn.model_selection import RandomizedSearchCV from lightgbm import LGBMClassifier import pandas as pd import numpy as np import os import time lgbm = LGBMClassifier( random_state=42, n_jobs=-1, verbose=-1 ) param_dist = { ""n_estimators"": [200, 300, 500, 700], ""learning_rate"": [0.01, 0.03, 0.05, 0.1], ""num_leaves"": [31, 63, 127], ""max_depth"": [-1, 10, 20, 30], ""subsample"": [0.8, 0.9, 1.0], ""colsample_bytree"": [0.8, 0.9, 1.0], ""reg_alpha"": [0, 0.1, 1], ""reg_lambda"": [0, 1, 5, 10] } lgbm_s",,,,0,46,16af488c15e1d868b67339c6b3b95feb76160bbde466ae5626f27fb3f6319aca,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
22,,code,PRECURSOR,superseded,"from lightgbm import LGBMClassifier from sklearn.metrics import f1_score import time test_lgbm_gpu = LGBMClassifier( n_estimators=50, learning_rate=0.05, num_leaves=63, random_state=42, device=""gpu"", verbose=-1 ) start = time.time() try: test_lgbm_gpu.fit(X_train, y_train) y_pred = test_lgbm_gpu.predict(X_test) print(""GPU LightGBM works."") print(""F1:"", f1_score(y_test, y_pred)) print(""Time:"", time.time() - start) except Exception as e: print(""GPU LightGBM failed:"") print(e)",,,,0,24,aa70f43d5f19a5abf382c9f8c704dcdcc3712be1d0479808458009a38ca9a9a8,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
23,,code,PRECURSOR,superseded,"from sklearn.model_selection import RandomizedSearchCV from lightgbm import LGBMClassifier import pandas as pd import numpy as np import os import time import joblib lgbm_gpu = LGBMClassifier( random_state=42, device=""gpu"", verbose=-1 ) param_dist = { ""n_estimators"": [200, 300, 500, 700], ""learning_rate"": [0.01, 0.03, 0.05, 0.1], ""num_leaves"": [31, 63, 127], ""max_depth"": [-1, 10, 20, 30], ""subsample"": [0.8, 0.9, 1.0], ""colsample_bytree"": [0.8, 0.9, 1.0], ""reg_alpha"": [0, 0.1, 1], ""reg_lambda"": [",,,,0,50,39c033977067be0bb462b0bb10f235459968062ca43be4d5981080bde6351d74,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
24,,code,PRECURSOR,superseded,"best_lgbm = lgbm_search.best_estimator_ y_pred_lgbm_tuned = best_lgbm.predict(X_test) lgbm_tuned_result = evaluate_model( ""LightGBM Tuned"", y_test, y_pred_lgbm_tuned, lgbm_tuning_time ) lgbm_tuned_df = pd.DataFrame([lgbm_tuned_result]) lgbm_tuned_df.round(4)",,,,0,13,0d74d50d18265a6db024769669661fb8424a6357340840aa43bff08fbd8c0a34,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
25,,code,PRECURSOR,superseded,"from sklearn.metrics import accuracy_score, precision_score, recall_score, f1_score, confusion_matrix def evaluate_model(model_name, y_true, y_pred, training_time): acc = accuracy_score(y_true, y_pred) prec = precision_score(y_true, y_pred, zero_division=0) rec = recall_score(y_true, y_pred, zero_division=0) f1 = f1_score(y_true, y_pred, zero_division=0) tn, fp, fn, tp = confusion_matrix(y_true, y_pred).ravel() fpr = fp / (fp + tn) fnr = fn / (fn + tp) return { ""Model"": model_name, ""Accuracy"": a",,,,0,27,5674e3540b19fd4ffe2a263d34f215c557bcfb2add44c886cc16f796dc899114,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
26,,code,PRECURSOR,superseded,"best_lgbm = lgbm_search.best_estimator_ y_pred_lgbm_tuned = best_lgbm.predict(X_test) lgbm_tuned_result = evaluate_model( ""LightGBM Tuned"", y_test, y_pred_lgbm_tuned, lgbm_tuning_time ) lgbm_tuned_df = pd.DataFrame([lgbm_tuned_result]) lgbm_tuned_df.round(4)",,,,0,13,0d74d50d18265a6db024769669661fb8424a6357340840aa43bff08fbd8c0a34,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
27,,code,PRECURSOR,superseded,"RESULTS_DIR = ""/kaggle/working/results"" MODEL_DIR = ""/kaggle/working/models"" os.makedirs(RESULTS_DIR, exist_ok=True) os.makedirs(MODEL_DIR, exist_ok=True) lgbm_tuned_result_path = os.path.join(RESULTS_DIR, ""lightgbm_tuned_result.csv"") lgbm_tuned_model_path = os.path.join(MODEL_DIR, ""lightgbm_tuned_model.pkl"") lgbm_tuned_df.to_csv(lgbm_tuned_result_path, index=False) joblib.dump(best_lgbm, lgbm_tuned_model_path) print(""Saved result:"", lgbm_tuned_result_path) print(""Saved model:"", lgbm_tuned_model",lightgbm_tuned_model.pkl,/kaggle/working/results; lightgbm_tuned_result.csv,,0,16,8dcdfffba5b8b30f1579cb16e79a32063ea161061c559932101234074ae96eb2,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
28,,code,PRECURSOR,superseded,"lgbm_best_params_df = pd.DataFrame([lgbm_search.best_params_]) lgbm_best_params_df[""Best CV F1""] = lgbm_search.best_score_ lgbm_best_params_df[""Tuning Time (sec)""] = lgbm_tuning_time lgbm_best_params_path = os.path.join(RESULTS_DIR, ""lightgbm_tuned_best_params.csv"") lgbm_best_params_df.to_csv(lgbm_best_params_path, index=False) print(""Saved:"", lgbm_best_params_path) lgbm_best_params_df",,lightgbm_tuned_best_params.csv,,0,9,8e286dbeecd76e32e3180a3c73c5d8ec6dda43a6dc0593f41316a2eba0c04d3d,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
29,,code,PRECURSOR,superseded,"import pandas as pd import os from sklearn.metrics import accuracy_score, precision_score, recall_score, f1_score, confusion_matrix def threshold_tuning_model(model, model_name, X_test, y_test, thresholds): y_prob = model.predict_proba(X_test)[:, 1] rows = [] for threshold in thresholds: y_pred = (y_prob >= threshold).astype(int) acc = accuracy_score(y_test, y_pred) prec = precision_score(y_test, y_pred, zero_division=0) rec = recall_score(y_test, y_pred, zero_division=0) f1 = f1_score(y_test, y",,,,0,50,9ad1de0e8268975fc9f8c777ebb1685f42ac0c1e43188ad58ab508f7c31d79ce,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
30,,code,PRECURSOR,superseded,Empty historical code cell,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
31,,code,PRECURSOR,superseded,"RESULTS_DIR = ""/kaggle/working/results"" lgbm_threshold_path = os.path.join( RESULTS_DIR, ""lightgbm_tuned_threshold_results.csv"" ) lgbm_tuned_threshold_df.to_csv(lgbm_threshold_path, index=False) print(""Saved:"", lgbm_threshold_path) lgbm_tuned_threshold_df.round(4)",,/kaggle/working/results,,0,11,36a50c9c9327064be70a074b821fb156d0998ec68537f2c8abf8724c09ee55f6,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
32,,code,PRECURSOR,superseded,"selected_lgbm_threshold = lgbm_tuned_threshold_df[ lgbm_tuned_threshold_df[""Threshold""] == 0.35 ] selected_lgbm_threshold_path = os.path.join( RESULTS_DIR, ""lightgbm_tuned_selected_threshold_035.csv"" ) selected_lgbm_threshold.to_csv(selected_lgbm_threshold_path, index=False) print(""Saved:"", selected_lgbm_threshold_path) selected_lgbm_threshold.round(4)",,,,0,13,0fd5d7e0b7af1fc2c321b816cf4d0245bb602fc195c937a0e3ef3f58a142fb9d,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
33,,code,PRECURSOR,superseded,"import xgboost as xgb import sklearn import os import time import pandas as pd import numpy as np import joblib print(""XGBoost version:"", xgb.__version__)",,,,0,9,e3e33bb4b893d7b40dac4d2cd889f91ac2db1f203b94e9ecae5bbc7009945a0f,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
34,,code,PRECURSOR,superseded,"from xgboost import XGBClassifier from sklearn.metrics import f1_score import time xgb_gpu_test = XGBClassifier( n_estimators=50, max_depth=6, learning_rate=0.1, subsample=0.9, colsample_bytree=0.9, objective=""binary:logistic"", eval_metric=""logloss"", tree_method=""hist"", device=""cuda"", random_state=42 ) start = time.time() try: xgb_gpu_test.fit(X_train, y_train) y_pred = xgb_gpu_test.predict(X_test) print(""GPU XGBoost works."") print(""F1:"", f1_score(y_test, y_pred)) print(""Time:"", time.time() - st",,,,0,28,662396f153516f7aa189de5357ca70912d5a41aba8df79f5432dec87285ac794,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
35,,code,PRECURSOR,superseded,"from sklearn.model_selection import RandomizedSearchCV from xgboost import XGBClassifier import time import pandas as pd import os import joblib xgb_gpu = XGBClassifier( objective=""binary:logistic"", eval_metric=""logloss"", tree_method=""hist"", device=""cuda"", random_state=42 ) xgb_param_dist = { ""n_estimators"": [200, 300, 500, 700], ""learning_rate"": [0.01, 0.03, 0.05, 0.1], ""max_depth"": [4, 6, 8, 10], ""subsample"": [0.8, 0.9, 1.0], ""colsample_bytree"": [0.8, 0.9, 1.0], ""min_child_weight"": [1, 3, 5], ",,,,0,51,a4ed5ea65d9d1a6816692ece6ea398238a48d87c27960e18e1515d86ff44d980,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
36,,code,PRECURSOR,superseded,"best_xgb = xgb_search.best_estimator_ y_pred_xgb_tuned = best_xgb.predict(X_test) xgb_tuned_result = evaluate_model( ""XGBoost Tuned"", y_test, y_pred_xgb_tuned, xgb_tuning_time ) xgb_tuned_df = pd.DataFrame([xgb_tuned_result]) xgb_tuned_df.round(4)",,,,0,13,067730331f7bedc2a869d3272cdfa88cb30543fbccb319ab28531c982134778d,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
37,,code,PRECURSOR,superseded,"RESULTS_DIR = ""/kaggle/working/results"" MODEL_DIR = ""/kaggle/working/models"" os.makedirs(RESULTS_DIR, exist_ok=True) os.makedirs(MODEL_DIR, exist_ok=True) xgb_tuned_result_path = os.path.join(RESULTS_DIR, ""xgboost_tuned_result.csv"") xgb_tuned_model_path = os.path.join(MODEL_DIR, ""xgboost_tuned_model.pkl"") xgb_tuned_df.to_csv(xgb_tuned_result_path, index=False) joblib.dump(best_xgb, xgb_tuned_model_path) print(""Saved result:"", xgb_tuned_result_path) print(""Saved model:"", xgb_tuned_model_path) xgb",xgboost_tuned_model.pkl,/kaggle/working/results; xgboost_tuned_result.csv,,0,16,f2de641d182546edfff7ff2be951ede767ab0a9c27ae79ad8c208b4308c1c2a7,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
38,,code,PRECURSOR,superseded,"xgb_best_params_df = pd.DataFrame([xgb_search.best_params_]) xgb_best_params_df[""Best CV F1""] = xgb_search.best_score_ xgb_best_params_df[""Tuning Time (sec)""] = xgb_tuning_time xgb_best_params_path = os.path.join(RESULTS_DIR, ""xgboost_tuned_best_params.csv"") xgb_best_params_df.to_csv(xgb_best_params_path, index=False) print(""Saved:"", xgb_best_params_path) xgb_best_params_df",,xgboost_tuned_best_params.csv,,0,9,99e8b0ac02ba2013b0be3998b0437fffc41f080675ef82d8dbf948a5bf44c47c,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
39,,code,PRECURSOR,superseded,"thresholds = [0.50, 0.45, 0.40, 0.35, 0.30, 0.25, 0.20] xgb_tuned_threshold_df = threshold_tuning_model( best_xgb, ""XGBoost Tuned"", X_test, y_test, thresholds ) xgb_tuned_threshold_df.round(4)",,,,0,11,2bb94ed754daad612e94b1e93bc7a5fcd7b52a414a52125d108b5b7a46d65a3e,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
40,,code,PRECURSOR,superseded,"xgb_threshold_path = os.path.join( RESULTS_DIR, ""xgboost_tuned_threshold_results.csv"" ) xgb_tuned_threshold_df.to_csv(xgb_threshold_path, index=False) print(""Saved:"", xgb_threshold_path) xgb_tuned_threshold_df.round(4)",,,,0,9,86af7f7c35d822a773fed98a7a53bbcf53c8adfe61384fc49b183546fb51c902,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
41,,code,PRECURSOR,superseded,"selected_xgb_thresholds = xgb_tuned_threshold_df[ xgb_tuned_threshold_df[""Threshold""].isin([0.45, 0.20]) ] selected_xgb_thresholds_path = os.path.join( RESULTS_DIR, ""xgboost_tuned_selected_thresholds_045_020.csv"" ) selected_xgb_thresholds.to_csv(selected_xgb_thresholds_path, index=False) print(""Saved:"", selected_xgb_thresholds_path) selected_xgb_thresholds.round(4)",,,,0,13,56b60453588f0c302e4286d5536f78b958683e76399e08cf4727c05c7db4ced9,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
42,,code,PRECURSOR,superseded,"selected_xgb_thresholds = xgb_tuned_threshold_df[ xgb_tuned_threshold_df[""Threshold""].isin([0.45, 0.20]) ] selected_xgb_thresholds_path = os.path.join( RESULTS_DIR, ""xgboost_tuned_selected_thresholds_045_020.csv"" ) selected_xgb_thresholds.to_csv(selected_xgb_thresholds_path, index=False) print(""Saved:"", selected_xgb_thresholds_path) selected_xgb_thresholds.round(4)",,,,0,13,56b60453588f0c302e4286d5536f78b958683e76399e08cf4727c05c7db4ced9,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
43,,code,PRECURSOR,superseded,"from catboost import CatBoostClassifier from sklearn.metrics import f1_score import time cat_gpu_test = CatBoostClassifier( iterations=50, learning_rate=0.1, depth=6, loss_function=""Logloss"", eval_metric=""F1"", task_type=""GPU"", devices=""0"", random_seed=42, verbose=False ) start = time.time() try: cat_gpu_test.fit(X_train, y_train) y_pred = cat_gpu_test.predict(X_test) print(""GPU CatBoost works."") print(""F1:"", f1_score(y_test, y_pred)) print(""Time:"", time.time() - start) except Exception as e: pri",,,,0,27,a02c968abf76b92808ab2a3805660942a4c6932b16930e45a629d5e299bed48b,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
44,,code,PRECURSOR,superseded,"import random import time import os import pandas as pd import joblib from catboost import CatBoostClassifier from sklearn.metrics import f1_score cat_param_space = { ""iterations"": [200, 300, 500, 700], ""learning_rate"": [0.01, 0.03, 0.05, 0.1], ""depth"": [4, 6, 8, 10], ""l2_leaf_reg"": [1, 3, 5, 7, 10], ""border_count"": [32, 64, 128], ""random_strength"": [0, 1, 2, 5] } random.seed(42) n_iter = 20 cat_results = [] best_cat_model = None best_cat_f1 = -1 best_cat_params = None start_tuning = time.time()",,,,0,86,f095460748a1d73bedbaa843047b12e2cd1378eb2cb7804b89b1299589bf8353,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
45,,code,PRECURSOR,superseded,"y_pred_cat_tuned = best_cat_model.predict(X_test) cat_tuned_result = evaluate_model( ""CatBoost Tuned"", y_test, y_pred_cat_tuned, cat_tuning_time ) cat_tuned_df = pd.DataFrame([cat_tuned_result]) cat_tuned_df.round(4)",,,,0,11,43bc78a4da1223d9876407586c15c5ee089493a734daeec280a2e844b6bd4a7a,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
