claim_id,stage,claim_summary,metric,frozen_value_or_artifact,source_result,source_code,source_config,source_commit,equivalence_level,inferential_status,residual_limitation
C23-006,Stage23,Uncertainty uses frozen paired stratified cohorts,bootstrap_rows_replicates_seed,"50000 per split;1000;42",results/stage23_shortcut_feature_audit/stage23_4_uncertainty_analysis/stage23_4_uncertainty_summary.csv,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,1e687d964aa5247a3e5d0678223dc8de92cc5ade,B,FROZEN_UNCERTAINTY_EVIDENCE,Bootstrap replicates are not regenerated
C23-007,Stage23,TreeSHAP is component-specific and consensus importance is descriptive only,SHAP_cohort_and_interpretation,"5000 rows per split;2500 per class;DESCRIPTIVE_ONLY",results/stage23_shortcut_feature_audit/stage23_5b_treeshap_proxy_absorption/stage23_5b_proxy_absorption_summary.csv,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,b927499efdf7d4dd5013054cc796f1115f879f8b,B,FROZEN_EXPLAINABILITY_EVIDENCE,Consensus is not exact SHAP for the probability-averaged ensemble
C23-008,Stage23,Stage23 supports validation sensitivity evidence but not leakage or causation claims,interpretation_boundary,not_supported_as_causal_or_leakage_proof,results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_final_closure_receipt.json,scripts/stage23_shortcut_feature_audit_kaggle.py,configs/stage23/protocol.json,f9661acf152d6f1c5dd12de2d0f94f21e68d7170,B,INTERPRETATION_RESTRICTION,Observational ablation and SHAP evidence cannot establish causation
C24-001,Stage24,bridge62 excludes all eight aggregate flag-count features,bridge_feature_count_and_exclusions,"62;FIN SYN RST PSH ACK URG CWE ECE aggregate counts",results/stage24_cross_dataset/stage24_0_protocol_lock/stage24_0c_semantic_bridge_spec.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,9433af17b37906d57db078008002b4836d912186,B,FROZEN_PROTOCOL_EVIDENCE,Operational feature bridge remains unchanged
C24-002,Stage24,bridge70 preserves the exact 70-feature semantic mapping,bridge_feature_count,70,results/stage24_cross_dataset/stage24_0_protocol_lock/stage24_0c_semantic_bridge_spec.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,9433af17b37906d57db078008002b4836d912186,B,FROZEN_PROTOCOL_EVIDENCE,No mapping search or target-guided remapping occurred
C24-003,Stage24,The source-fit budget is fully consumed and closed,scientific_fits,"4/4;0 remaining",results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json,notebooks/archive/stage24_cross_dataset_executed.ipynb:9-17;53-56,configs/stage24/protocol.json,a4b6a3854109ba3d85954fb4a40afe6fe1ee6114,B,GOVERNANCE_FACT,Four historical fits are not rerun
C24-004,Stage24,Primary bridge62 PUBLISHED transfer result,PR_AUC_and_ROC_AUC,"0.6674827010666808;0.7339464251813748",results/stage24_cross_dataset/stage24_3_primary_results_freeze/stage24_3a_primary_paired_bootstrap/stage24_3a_primary_results_freeze.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,d624db8f14f96f9d2bde176df99653555cea842c,B,FROZEN_TARGET_EVIDENCE,Single frozen CICIDS2017 target population
C24-005,Stage24,Primary bridge62 FLAG_CORRECTED is bitwise identical to PUBLISHED,prediction_identity,BITWISE_IDENTICAL,results/stage24_cross_dataset/stage24_2_primary_target_openings/stage24_2b_bridge62_flag_corrected/stage24_2b_bridge62_flag_corrected_identity_result.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,293f91171e22b94d7342963f687df5aa5221ef5d,B,FROZEN_TARGET_EVIDENCE,Identity follows exclusion of all corrected aggregate flags
C24-006,Stage24,Primary bridge70 PUBLISHED transfer result,PR_AUC_and_ROC_AUC,"0.6639810751980307;0.7418914673891956",results/stage24_cross_dataset/stage24_2_primary_target_openings/stage24_2c_bridge70_published/stage24_2c_bridge70_published_result.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,f89507816102e9e285512962fd1a96bbbaf0eb9f,B,FROZEN_TARGET_EVIDENCE,No target threshold tuning
C24-007,Stage24,Primary bridge70 FLAG_CORRECTED transfer result,PR_AUC_and_ROC_AUC,"0.6562523506197266;0.7440833611037603",results/stage24_cross_dataset/stage24_2_primary_target_openings/stage24_2d_bridge70_flag_corrected/stage24_2d_bridge70_flag_corrected_result.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,a2a197ec01d30f09f140c157cdddc2e1e870512a,B,FROZEN_TARGET_EVIDENCE,PUBLISHED and FLAG_CORRECTED remain separate
C24-008,Stage24,Both GROUNDED_S4 cells are administratively cancelled before opening,cancelled_cells,"2;DURABLE_ARTIFACT_INFEASIBILITY",results/stage24_cross_dataset/stage24_1_primary_source_sanity/stage24_1c_grounded_s4_membership/stage24_1c_ex1_grounded_s4_durable_artifact_infeasibility_amendment.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,a90a4221ef5a5e9958777049bcf13cc56a3519d3,B,GOVERNANCE_FACT,No fuzzy substitute and no inferred GROUNDED_S4 value
C24-009,Stage24,Secondary bridge62 transfer to IDS2018 February28,PR_AUC_and_ROC_AUC,"0.10817592573968819;0.5251666999050302",results/stage24_cross_dataset/stage24_5_secondary_target_openings/stage24_5a_bridge62_ids2018_feb28/stage24_5a_secondary_bridge62_ids2018_feb28_result.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,e09ff89f582f972a9641705f0850a9ba99516902,B,FROZEN_TARGET_EVIDENCE,Source validation threshold only; Mar1 and Mar2 remain closed
C24-010,Stage24,Secondary bridge70 transfer to IDS2018 February28,PR_AUC_and_ROC_AUC,"0.10741914378003477;0.5253021473786115",results/stage24_cross_dataset/stage24_5_secondary_target_openings/stage24_5b_bridge70_ids2018_feb28/stage24_5b_secondary_bridge70_ids2018_feb28_result.json,scripts/stage24/stage24_cross_dataset_generalization.py,configs/stage24/protocol.json,ce2913dd7a040b400be58acdacab4017bc4b45f7,B,FROZEN_TARGET_EVIDENCE,Source validation threshold only; Mar1 and Mar2 remain closed
C24-011,Stage24,All evaluable target openings are consumed and cancelled slots are not reallocated,target_openings,"6/6;2 cancelled;0 remaining",results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json,src/ids_validation/stages/stage24/registry.py,configs/stage24/protocol.json,a4b6a3854109ba3d85954fb4a40afe6fe1ee6114,B,GOVERNANCE_FACT,No target is reopened during verification
C24-012,Stage24,The two transfer directions remain separate,direction_averaging,false,results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json,src/ids_validation/stages/stage24/registry.py,configs/stage24/protocol.json,a4b6a3854109ba3d85954fb4a40afe6fe1ee6114,B,REPORTING_RESTRICTION,Directions use different models populations and prevalences
