"physical_cell","historical_label","substage","execution_role","artifact_family","mapping_status"
"327","Stage20-1C1 Xet acquisition transport","source_provenance","transport-only Monday PCAP recovery","later source receipts","DIRECT_NOTEBOOK"
"328","Stage20-1C2 bounded Monday packet-schema/alignment smoke audit","directed_s4","bounded packet-to-directed-flow smoke audit","notebook output; later forensic families","DIRECT_NOTEBOOK"
"329","Stage20-1C2R timestamp-unit-safe alignment repair","directed_s4","repair datetime64 unit handling","notebook output; later forensic families","DIRECT_NOTEBOOK"
"330","Stage20-1C2S original label serialization audit","extractor_forensics","inspect original CICIDS2017 serialization","notebook output","DIRECT_NOTEBOOK"
"331","Stage20-1C2S-A original label archive acquisition repair","source_provenance","transport repair for original label archive","notebook output","DIRECT_NOTEBOOK"
"332","Stage20-1C2S-A1 original label archive path resolution","source_provenance","metadata-only path resolution","notebook output","DIRECT_NOTEBOOK"
"333","Stage20-1C2S-A2 resolved label archive acquisition","source_provenance","resolved transport/integrity action","notebook output","DIRECT_NOTEBOOK"
"334","Stage20-1C2S-B original Monday label serialization/equivalence audit","extractor_forensics","compare original Monday label serialization","notebook output","DIRECT_NOTEBOOK"
"335","Stage20-1C2T source-faithful timestamp canonicalization audit","extractor_forensics","audit CICFlowMeter timestamp semantics","notebook output; C15 erratum lineage","DIRECT_NOTEBOOK"
"336","Stage20-1C3 bounded exact-S4 reconstruction pilot","directed_s4","first packet-to-S4 bounded reconstruction","notebook output","DIRECT_NOTEBOOK"
"337","Stage20-1C4 bounded S4 discrepancy forensic","extractor_forensics","localize low exact-match rate","notebook output","DIRECT_NOTEBOOK"
"338","Stage20-1C5 historical-source S4 replication pilot","directed_s4","replay pinned historical extractor semantics","notebook output","DIRECT_NOTEBOOK"
"339","Stage20-1C6 historical-source S4 discrepancy forensic","extractor_forensics","diagnose historical replay discrepancies","notebook output","DIRECT_NOTEBOOK"
"340","Stage20-1C7 historical HashMap flag-serialization audit","extractor_forensics","inspect flag serialization semantics","stage20_flag_serialization_correction lineage","DIRECT_NOTEBOOK"
"341","Stage20-1C8 source-derived flag-serialization correction freeze","extractor_forensics","freeze C8 corrected flags","stage20_flag_serialization_correction","DIRECT_NOTEBOOK_AND_ARTIFACT"
"342","Stage20-1C8 local commit/push recovery","governance","push existing scientific freeze commit only","stage20_flag_serialization_correction","COMMIT_TRANSPORT_ONLY"
"343","Stage20-1C8 push transport/auth forensic","governance","diagnose push transport only","stage20_flag_serialization_correction","COMMIT_TRANSPORT_ONLY"
"344","Stage20-1C8 authenticated exact-commit push","governance","push already-created exact commit","stage20_flag_serialization_correction","COMMIT_TRANSPORT_ONLY"
"345","Stage20-1C9 corrected historical exact-S4 pilot","directed_s4","rerun bounded pilot with frozen C8 rule","stage20_jnetpcap_forensic","DIRECT_NOTEBOOK_AND_ARTIFACT"
"346","Stage20-1C10 residual corrected-S4 localization","extractor_forensics","localize residual mismatches","stage20_jnetpcap_forensic","DIRECT_NOTEBOOK_AND_ARTIFACT"
"347","Stage20-1C11 direct jNetPcap-vs-Scapy payload audit","extractor_forensics","compare packet payload implementations","stage20_jnetpcap_forensic lineage","DIRECT_NOTEBOOK"
"348","Stage20 session recovery R0","runtime_recovery","repository/runtime/local-source inventory","runtime-only","DIRECT_NOTEBOOK"
"349","Stage20 session recovery R1","runtime_recovery","Monday source reacquisition","runtime-only","DIRECT_NOTEBOOK"
"350","Stage20 session recovery R1X","runtime_recovery","Xet-accelerated Monday reacquisition","runtime-only","DIRECT_NOTEBOOK"
"351","Stage20 session recovery R2","runtime_recovery","reproduce lost C9 bounded record","stage20_jnetpcap_forensic lineage","DIRECT_NOTEBOOK"
"352","Stage20 session recovery R3","runtime_recovery","reproduce lost C10 localization record","stage20_jnetpcap_forensic lineage","DIRECT_NOTEBOOK"
"353","Stage20-1C11 pinned jNetPcap-vs-Scapy payload audit","extractor_forensics","repeat comparison under pinned runtime","stage20_jnetpcap_forensic lineage","DIRECT_NOTEBOOK"
"354","Stage20-1C11R pinned jNetPcap runtime failure diagnostic","runtime_recovery","diagnose native runtime failure","stage20_jnetpcap_forensic lineage","DIRECT_NOTEBOOK"
"355","Stage20-1C11R2 native-dependency repair","runtime_recovery","repair pinned jNetPcap native dependency","stage20_jnetpcap_forensic","DIRECT_NOTEBOOK_AND_ARTIFACT"
"356","Stage20-1C11R3 direct payload audit after repair","extractor_forensics","run bounded repaired comparison","stage20_jnetpcap_forensic lineage","DIRECT_NOTEBOOK"
"357","Stage20-1C11R4 packet-identity disagreement forensic","extractor_forensics","localize packet identity disagreement","stage20_jnetpcap_forensic","DIRECT_NOTEBOOK_AND_ARTIFACT"
"358","Stage20-1C11R5 jNetPcap-only UDP/fragment forensic","extractor_forensics","audit UDP row presence and IPv4 fragments","stage20_jnetpcap_forensic","DIRECT_NOTEBOOK_AND_ARTIFACT"
"359","Stage20-1C11R6 forensic-chain freeze/push","governance","freeze and push bounded forensic chain","stage20_jnetpcap_forensic","DIRECT_NOTEBOOK_AND_ARTIFACT"
"360","Stage20-1C11R6-FIX commit/push continuation","governance","repair git-config handling only","stage20_jnetpcap_forensic","COMMIT_TRANSPORT_ONLY"
"361","Stage20-1C11R6-FIX repeated continuation","governance","repeat commit/push repair","stage20_jnetpcap_forensic","COMMIT_TRANSPORT_ONLY"
"362","Stage20-1C11R6-FIX2 exact-SHA push verification","governance","verify and push existing local checkpoint","stage20_jnetpcap_forensic","COMMIT_TRANSPORT_ONLY"
"363","Stage20-1C12 exact aligned TCP-only payload audit","extractor_forensics","compare aligned TCP payload semantics","stage20_tcp_payload_semantics","DIRECT_NOTEBOOK_AND_ARTIFACT"
"364","Stage20-1C13 TCP protocol-geometry forensic","extractor_forensics","explain payload disagreement by protocol geometry","stage20_tcp_payload_semantics","DIRECT_NOTEBOOK_AND_ARTIFACT"
"365","Stage20 C12/C13 runtime-state inventory","runtime_recovery","presence/in-memory preflight","stage20_tcp_payload_semantics lineage","DIRECT_NOTEBOOK"
"366","Stage20-1C14 protocol-derived TCP semantics freeze","extractor_forensics","freeze derived jNetPcap TCP payload semantics","stage20_tcp_payload_semantics","FAILED_OR_SUPERSEDED_BY_367"
"367","Stage20-1C14-R1 corrected TCP semantics freeze","extractor_forensics","correct field handling and freeze/push","stage20_tcp_payload_semantics","DIRECT_NOTEBOOK_AND_ARTIFACT"
"368","Stage20-1C15-P reconstruction runtime preflight","runtime_recovery","inspect reconstruction state only","C15 lineage","DIRECT_NOTEBOOK"
"369","Stage20-1C15-P-R1 corrected runtime preflight","runtime_recovery","repair globals iteration bug","C15 lineage","DIRECT_NOTEBOOK"
"370","Stage20 session recovery R4","runtime_recovery","restore post-C14 frozen state","C15 lineage","DIRECT_NOTEBOOK"
"371","Stage20-1C15-R post-reset TCP-rule residual validation","reconstruction","self-contained bounded replay","C15 lineage","DIRECT_NOTEBOOK"
"372","Stage20-1C15-R-D1 reproduction-drift diagnostic","extractor_forensics","diagnose baseline replay drift","stage20_c15_baseline_erratum lineage","DIRECT_NOTEBOOK"
"373","Stage20-1C15-R-D2 timestamp serialization reproduction","extractor_forensics","reproduce integer timestamp serialization","stage20_c15_baseline_erratum lineage","DIRECT_NOTEBOOK"
"374","Stage20-1C15-R-D3 two-flow lifecycle localization","extractor_forensics","localize two duration mismatches","stage20_c15_baseline_erratum lineage","DIRECT_NOTEBOOK"
"375","Stage20-1C15-R-D4 raw-PCAP duration forensic","extractor_forensics","bounded raw-packet audit for two cases","stage20_c15_baseline_erratum lineage","DIRECT_NOTEBOOK"
"376","Stage20-1C15-R-D5 source-faithful baseline erratum freeze","reconstruction","freeze D5 corrected baseline membership","stage20_c15_baseline_erratum","DIRECT_NOTEBOOK_AND_ARTIFACT"
"377","Stage20-1C15-R-V1 final bounded TCP residual validation","reconstruction","apply pre-frozen TCP rule to bounded cohort","stage20_c15_payload_validation","DIRECT_NOTEBOOK_AND_ARTIFACT"
"378","Stage20-1C15-R-V2 negative global validation freeze","reconstruction","freeze negative payload-rule result","stage20_c15_payload_validation","DIRECT_NOTEBOOK_AND_ARTIFACT"
"379","Stage20-1C16-A transition cohort manifest freeze","runtime_recovery","freeze exact-to-exact/exact-to-absent/absent-to-exact/absent-to-absent cohorts","stage20_1c16_runtime_recovery","DIRECT_NOTEBOOK"
"380","Stage20 recovery preflight fresh session","runtime_recovery","metadata-only recovery preflight","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"381","Stage20-R1 exact repository recovery","runtime_recovery","restore exact frozen repository","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"382","Stage20-R2 Monday source recovery","runtime_recovery","restore pinned PCAP and label artifacts","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"383","Stage20-R2 Xet source recovery","runtime_recovery","Xet transport variant","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"384","Stage20-R3A recovery code inventory","runtime_recovery","find committed reconstruction code","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"385","Stage20-R3B pinned CICFlowMeter source recovery","runtime_recovery","recover historical extractor source","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"386","Stage20-R3C historical source-semantic reconciliation","extractor_forensics","reconcile public and source-derived roles","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"387","Stage20-R3D-D1 packet 2765 decoder diagnostic","extractor_forensics","diagnose fragmented UDP decoding","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"388","Stage20-R3D deterministic first-50k reconstruction","reconstruction","fragment-safe bounded runtime reconstruction","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"389","Stage20-R3D-D2 global S4 mismatch localization","extractor_forensics","localize in-memory mismatch without reread","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"390","Stage20-R3D-D4 restore frozen baseline erratum","reconstruction","restore D5 membership distinction","stage20_1c16_runtime_recovery lineage","FAILED_OR_SUPERSEDED_BY_392"
"391","Stage20-R3D-D4-D1 duration-case membership diagnostic","extractor_forensics","diagnose duration membership in memory","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"392","Stage20-R3D-D4 corrected source-faithful erratum restore","reconstruction","restore authoritative raw/source-faithful states","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"393","Stage20-R2-XET exact Monday source recovery","runtime_recovery","restore Monday PCAP/labels only","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"394","Stage20 fresh Kaggle runtime bootstrap","runtime_recovery","restore repository, Scapy, and sources","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"395","Stage20-R3D deterministic reconstruction repeat","reconstruction","repeat fragment-safe bounded reconstruction","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"396","Stage20-R3D full corrected frozen reconstruction","reconstruction","handoff-informed source-faithful bounded reconstruction","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"397","Stage20-R3D PyArrow environment repair","runtime_recovery","repair runtime without scientific access","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"398","Stage20 label Parquet schema metadata probe","runtime_recovery","inspect schema without loading dataset","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"399","Stage20-R3D source-faithful bounded reconstruction","reconstruction","run with existing label counts and pinned rules","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"400","Stage20-R3D-DIR1 directional length-stat anomaly isolation","extractor_forensics","isolate two directional anomalies","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"401","Stage20-R3D-DIR2 exact two-flow direction check","extractor_forensics","freeze directional semantic distinction","stage20_1c16_runtime_recovery/stage20_r3d_dir2_directional_semantics.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"402","Stage20-PERSIST-1 state preservation/push helper","governance","persist current forensic state","stage20_1c16_runtime_recovery lineage","COMMIT_TRANSPORT_ONLY"
"403","Stage20-PERSIST-1R commit recovery/push verify","governance","recover failed commit and push","stage20_1c16_runtime_recovery lineage","COMMIT_TRANSPORT_ONLY"
"404","Stage20-PERSIST-2 D5 persistence correction","governance","correct persistence mistake without scientific change","stage20_1c16_runtime_recovery lineage","DIRECT_NOTEBOOK"
"405","Stage20-1C16-A-DU1 D-cohort union forensic","extractor_forensics","diagnose failed changed-position union assertion","stage20_1c16_runtime_recovery/stage20_1c16a_d_cohort_union_forensic.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"406","Stage20-1C16-A-R2 authoritative cohort manifest recovery","runtime_recovery","recover source-faithful transition manifest","stage20_1c16_runtime_recovery","DIRECT_NOTEBOOK_AND_ARTIFACT"
"407","Stage20-1C16-B transition-cohort TCP geometry","extractor_forensics","characterize four transition cohorts","stage20_1c16_runtime_recovery/stage20_1c16b_transition_cohort_packet_geometry.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"408","Stage20-1C16-C sign/position phenotype","extractor_forensics","characterize packet-geometry position phenotype","stage20_1c16_runtime_recovery/stage20_1c16c_packet_geometry_sign_position_phenotype.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"409","Stage20-1C16-D0 mechanism-search budget lock","governance","precommit bounded candidates and stopping rule","stage20_1c16_runtime_recovery/stage20_1c16d0_mechanism_search_budget_lock.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"410","Stage20-1C16-D1 M1 exact test","extractor_forensics","test capture-beyond-declared-IPv4 mechanism","stage20_1c16_runtime_recovery/stage20_1c16d1_m1_gt_capture_beyond_declared_ipv4.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"411","Stage20-1C16-D2/D3 final mechanism test and closure","extractor_forensics","test shorter-capture mechanism and close negative search","stage20_1c16_runtime_recovery/stage20_1c16d2_*; stage20_1c16d3_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"412","Stage20-1D0 packet-image selection lock","packet_representation","freeze authentic variable-byte representation choice","stage20_1d_representation/stage20_1d0_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"413","Stage20-1D1-S storage-aware sequential TRAIN protocol","packet_representation","freeze daywise profiling/storage policy","stage20_1d_representation/stage20_1d1s_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"414","Stage20-1D2-M Monday exact TRAIN geometry profile","packet_representation","profile Monday geometry under frozen rules","stage20_1d_representation/stage20_1d2m_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"415","Stage20-1D2-M-S1 Monday storage-release diagnostic","governance","metadata-only deletion gate","stage20_1d_representation/stage20_1d2m_s1_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"416","Stage20-1D2-M-S2 Monday cache release","governance","release verified Monday cache","stage20_1d_representation/stage20_1d2m_s2_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"417","Stage20-1D2-T Tuesday exact TRAIN geometry profile","packet_representation","profile Tuesday and release source cache","stage20_1d_representation/stage20_1d2t_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"418","Stage20-1D2-W Wednesday exact TRAIN geometry profile","packet_representation","profile Wednesday and release source cache","stage20_1d_representation/stage20_1d2w_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"419","Stage20-1D3 combined TRAIN geometry/numeric freeze","packet_representation","combine durable daily profiles","stage20_1d_representation/stage20_1d3_*","FAILED_OR_SUPERSEDED_BY_420"
"420","Stage20-1D3 combined TRAIN geometry/numeric freeze script","packet_representation","freeze combined numeric dimensions","stage20_1d_representation/stage20_1d3_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"421","Stage20-1D4-A fixed encoder verification lock","packet_representation","precommit encoder verification","stage20_1d_representation/stage20_1d4a_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"422","Stage20-1D4-B fixed encoder verification","packet_representation","execute bounded fixed-encoder checks","stage20_1d_representation/stage20_1d4b_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"423","Stage20-1E0 architecture/training protocol lock","cnn_governance","freeze CNN, training, validation, and holdout semantics","stage20_1e_training/stage20_1e0_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"424","Stage20-1E1-M-R3 Monday compact corpus","compact_corpus","materialize/audit Monday TRAIN corpus","stage20_1e_training/stage20_1e1m_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"425","Stage20-1E1-T-FAST-R1 Tuesday compact corpus","compact_corpus","materialize/audit Tuesday TRAIN corpus","stage20_1e_training/stage20_1e1t_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"426","Stage20-1E1-T resume after stale post-rename path","compact_corpus","verify finalized Tuesday corpus; no rematerialization","stage20_1e_training/stage20_1e1t_*","RECOVERY_WITHOUT_SCIENTIFIC_RERUN"
"427","Stage20-1E1-W Wednesday compact corpus","compact_corpus","materialize/audit Wednesday TRAIN corpus","stage20_1e_training/stage20_1e1w_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"428","Stage20-1E1-W documentation-only erratum","governance","correct two Wednesday Markdown statements","stage20_1e_training Wednesday release receipt","DOCUMENTATION_ONLY"
"429","Stage20-1E1-W erratum finisher","governance","commit/push already-corrected Markdown","stage20_1e_training Wednesday release receipt","DOCUMENTATION_ONLY"
"430","Stage20-1E1-V Thursday compact corpus first attempt","compact_corpus","materialize/audit Thursday VALIDATION corpus","stage20_1e_training/stage20_1e1v_*","FAILED_OR_SUPERSEDED_BY_434"
"431","Stage20-1E1-V Thursday label NULL/schema diagnostic","label_provenance","read-only actual-record/schema characterization","stage20_1e_training Thursday erratum lineage","DIRECT_NOTEBOOK"
"432","Stage20-1E1-V Thursday all-NULL suffix diagnostic","label_provenance","prove contiguous 288602-row all-column-NULL suffix","stage20_1e_training Thursday erratum lineage","DIRECT_NOTEBOOK"
"433","Stage20-1E1-V-PRE Thursday ingestion erratum freeze","label_provenance","freeze structural NULL-padding exclusion before PCAP access","stage20_1e_training/stage20_1e1v_thursday_label_source_ingestion_erratum.json","DIRECT_NOTEBOOK_AND_ARTIFACT"
"434","Stage20-1E1-V-R2 Thursday compact corpus","compact_corpus","materialize/audit Thursday VALIDATION under frozen erratum","stage20_1e_training/stage20_1e1v_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"435","Stage20-1E2 frozen CNN training attempt","cnn","verify TRAIN corpora and launch exact ten-epoch protocol","stage20_1e_training/stage20_1e2_* lineage","FAILED_BEFORE_FINAL_ISOLATED_LAUNCH"
"436","Stage20 auxiliary diagnostic-package install","runtime_recovery","install isolated numpy/pandas/pyarrow diagnostic stack","runtime-only","DIRECT_NOTEBOOK"
"437","Stage20 auxiliary diagnostic-package verification","runtime_recovery","verify isolated diagnostic imports","runtime-only","DIRECT_NOTEBOOK"
"438","Stage20 Thursday mismatch diagnostic stub","runtime_recovery","write incomplete diagnostic script","runtime-only","SUPERSEDED_BY_440"
"439","Stage20 Thursday diagnostic stub verification","runtime_recovery","confirm stub file metadata","runtime-only","DIRECT_NOTEBOOK"
"440","Stage20 Thursday mismatch diagnostic full script","runtime_recovery","write full diagnostic","runtime-only","DIRECT_NOTEBOOK"
"441","Stage20 Thursday diagnostic script-size verification","runtime_recovery","verify full script exists","runtime-only","DIRECT_NOTEBOOK"
"442","Stage20 Thursday mismatch diagnostic first run","runtime_recovery","failed input discovery; no scientific change","runtime-only","FAILED_DIAGNOSTIC"
"443","Stage20 Thursday file-candidate discovery","runtime_recovery","inventory possible inputs","runtime-only","DIRECT_NOTEBOOK"
"444","Stage20 Thursday manifest inspection","runtime_recovery","inspect durable manifest metadata","stage20_1e_training/stage20_1e1v_*","DIRECT_NOTEBOOK"
"445","Stage20 Thursday compact-corpus size inventory","runtime_recovery","filesystem metadata inventory","runtime-only","DIRECT_NOTEBOOK"
"446","Stage20-1E2 CUDA compatibility diagnostic","runtime_recovery","diagnose cu128/P100 sm_60 incompatibility","stage20 environment evidence","DIRECT_NOTEBOOK"
"447","Stage20 isolated cu126 package install/verification","runtime_recovery","create separate PyTorch 2.10.0+cu126 target and probe GPU","stage20 environment evidence","DIRECT_NOTEBOOK"
"448","Stage20-1E2 isolated-runtime launcher","cnn","verify worker hash/runtime and train frozen CNN","stage20_1e_training/stage20_1e2_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"449","Stage20-1E3 isolated Thursday launcher","evaluation","freeze semantics then perform one-pass Thursday inference/evaluation","stage20_1e_training/stage20_1e3_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"450","Stage20-1E3 post-failure state diagnostic","governance","hash-only diagnosis after durability failure","stage20_1e_training/stage20_1e3_*","DIAGNOSTIC_ONLY"
"451","Stage20-1E3 durability recovery","governance","attempt persistence of existing outputs; no recomputation","stage20_1e_training/stage20_1e3_*","SUPERSEDED_RECOVERY"
"452","Stage20-1E3 durability recovery R2","governance","repair recovery assertion only","stage20_1e_training/stage20_1e3_*","SUPERSEDED_RECOVERY"
"453","Stage20-1E3 durability recovery R3","governance","minimal existing-artifact verification/persistence","stage20_1e_training/stage20_1e3_*","SUPERSEDED_RECOVERY"
"454","Stage20-1E3 durability recovery R4 hash-only","governance","commit exact existing Thursday outputs; Friday remains closed","stage20_1e_training/stage20_1e3_*","DIRECT_NOTEBOOK_AND_ARTIFACT"
"455","Stage20-1E4 final Friday holdout launcher","holdout_governance","remote-verify PRE lock then attempt single Friday opening; worker stopped at storage gate","stage20_1e_training/stage20_1e4_friday_holdout_execution_lock.json","DIRECT_PRELOCK_ONLY_POST_RESULTS_NOT_MAPPED"
"456","Stage20-1E4 post-failure state diagnostic","holdout_governance","metadata/hash-only diagnostic; no Friday content read","stage20_1e_training E4 prelock lineage","DIAGNOSTIC_ONLY"
"457","Stage20 E4 workspace size inventory","holdout_governance","filesystem metadata-only inventory","runtime-only","DIAGNOSTIC_ONLY"
"458","Stage20 E4 protected-subdirectory inventory","holdout_governance","metadata-only size inventory","runtime-only","DIAGNOSTIC_ONLY"
"459","Stage20-1E4 constrained cleanup","holdout_governance","release previously verified non-Friday corpora to satisfy space gate","runtime-only cleanup receipt in output","OPERATIONAL_ONLY"
"460","Stage20 E4 isolated NVIDIA package inventory","holdout_governance","metadata-only CUDA package inventory","runtime-only","DIAGNOSTIC_ONLY"
"461","Stage20 E4 isolated CUDA dependency audit","holdout_governance","read-only ELF dependency audit before space recovery","runtime-only","DIAGNOSTIC_ONLY"
