stage,research_role,canonical_source,reproducibility_class,strongest_equivalence,environment_status,scientific_target_status,known_limitations
Stage11,Attack-category analysis,"NB001 cell120; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,VERSION_NOT_PROVEN,HOLDOUT_CLOSED,"Category reconstruction/statistics not rerun."
Stage12,Fixed-hyperparameter multi-seed robustness,"NB001 cells121-129; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,NO_SPLIT_FIT_THRESHOLD_OR_HOLDOUT,"Fixed hyperparameters; ancillary versions partial."
Stage13,Local explanation reliability,"NB001 cells130-146; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,EXPLANATIONS_AND_HOLDOUT_CLOSED,"SHAP/SciPy/Matplotlib unproven."
Stage14,Integrated Gradients audit,"NB001 cells147-161; extracted method",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,MODEL_GRADIENT_AND_HOLDOUT_CLOSED,"Ancillary versions partial."
Stage15,FT-Transformer feasibility,"NB001 cells162-170 and172-189; preserved scripts; extracted contracts",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PROVEN_ISOLATED_P100,HOLDOUT_CLOSED,"External processed data; checkpoint hash-only."
Stage16,Classical benchmark,"NB001 cells171 and190-222; extracted registry",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,VERSION_NOT_PROVEN,MODELS_AND_HOLDOUT_CLOSED,"Historical runtime unproven."
Stage17,Attention diagnostics,"NB001 cells223-239; extracted helpers",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,VERSION_NOT_PROVEN,CHECKPOINT_AND_HOLDOUT_CLOSED,"Attention extraction not rerun."
Stage18,Representation feasibility,"NB001 cells240-289; branch-specific extracted methods",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PARTIALLY_PROVEN_REPAIRED,NO_MODEL_EXECUTION,"Scientific branches not rerun; some versions unproven."
Stage19,Temporal models,"NB001 cells290-311; extracted specs",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PARTIALLY_PROVEN_P100,NO_MATERIALIZATION_FIT_OR_INFERENCE,"Temporal inputs external; scientific stack partial."
Stage20,Packet-image and masked-CNN program,"NB001 cells312-461; ten scoped namespaces",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,MULTIPLE_SEPARATE_PROVEN_AND_PARTIAL,RAW_DATA_MODEL_AND_TARGET_CLOSED,"PCAP/corpus inputs external; later Friday evidence unmapped."
Stage21,Masked-ViT continuation,"NB001 cells462-488; NB007 cells2-85; exact scripts",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PROVEN_T4,NO_MODEL_EXECUTION_OR_TARGET_OPENING,"Restored corpora external."
Stage22,Temporal session-safe validation,"NB007 cells86-139",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,B,PARTIALLY_PROVEN,HOLDOUT_TERMINALLY_CLOSED,"No standalone historical script; Python/GPU unproven."
Stage23,Shortcut-feature audit,"75-cell script methodology; NB008 outputs",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PARTIALLY_PROVEN,FIT_BOOTSTRAP_SHAP_AND_TARGET_CLOSED,"Python/GPU unproven."
Stage24,Cross-dataset generalization,"NB009; NB003/sanitized script",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PROVEN_TWO_T4,TARGETS_TERMINALLY_CLOSED,"Two GROUNDED_S4 cells cancelled; asymmetric transfer."
Stage25,Prevalence and SOC stress,"NB010; exact analytic script",FULLY_REPRODUCIBLE_FROM_FROZEN_INPUT_SCALARS,A,PARTIALLY_PROVEN_NONESSENTIAL,NO_MODEL_OR_TARGET_REQUIRED,"Depends on inherited final operating-point scalars."
Stage26,Deployment profiling,"NB011; virtual source archival only",METHODOLOGY_REPRODUCIBLE_HISTORICAL_TIMINGS_ARCHIVAL,A,SEPARATE_PROVEN_CPU_AND_PARTIAL_T4,TIMING_RERUN_PROHIBITED,"Historical milliseconds hardware-specific; virtual source non-compiling."
Stage27,LOAO unseen-family generalization,"NB012; late-cell scripts",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PROVEN_CPU,TARGET_LEDGER_TERMINALLY_CLOSED,"Five eligible folds; Infiltration descriptive only."
Stage28,Five-seed stability and random LOAO control,"NB013; late-cell archive/script",PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE,A,PARTIALLY_PROVEN_CPU,FINAL_EMPIRICAL_WALL,"Learner versions unproven; probability NPZ hash-only."
